,MB
1A01,9.853842991701352
3B05,
3C02,11.430406006074218
3D04,7.5342641427020665
3D05,10.046784247800915
3F01,12.078192320258864
4A10,
4B03,7.835989100019052
4B04,8.658771819894417
4D01,9.45160395807134
4D10,
4E07,5.137552186616436
4F10,4.484062046430607
4G03,12.147956512491042
4G09,9.169938216305612
4H09,
5C01,5.119728593011915
5D01,4.332571888759729
5F01,4.247707706285932
5F06,
5G01,
6C01,6.715626785468728
6D02,
6D03,8.759441876423967
6E01,7.535095905995759
6E02,9.513385648380327
6E03,8.601284612169
6G02,
A1R05,
A1R06,14.329532103877487
A1R11,14.440542267917282
A2R01,7.327499953894418
A2R07,4.567736910919422
A2R16,
A3M17,4.872227927361971
A3R04,6.620050269450171
A3R06,
B1R08,5.617686755146985
B1R10,6.722531955392195
B1R15,7.149616690421455
B2M13,7.90287457515612
B2M14,
B2R04,5.522997912436859
B2R09,4.480332043330035
B2R22,
B3M03,
B3M18,
B3R09,
B3R10,5.952108133198607
B3R15,6.642214312338572
C1R08,
C2M04,
C2M19,8.42742521557268
C2R07,9.698198166063827
C2R09,
C2R11,
C2R13,8.805908872640336
C2R21,13.452287776704477
C3M06,
C3M08,10.829851122244476
C3M10,15.597173491949127
C3R10,
C3R12,8.413138915943154
D2M19,
D2R04,
D2R18,
D2R19,
D3M06,
D3R02,8.510247975098581
E2M05,
E2M18,9.649120509802156
E2R12,
E3M02,
F1R01,7.936730008042451
F1R02,9.897845704185116
F1R06,10.265970887549155
F2M12,
F2R05,4.889503545161712
F2R10,
F2R13,4.52620485693365
F2R14,
F2R15,12.10566032362352
F3M06,10.59515633176786
F3M07,8.41167828390099
F3M13,8.630548423505665
G1M02,
G1M14,7.35235287707365
G1M15,9.766351995836224
G2M01,6.205120728242872
G2M05,11.559345621256451
G2M07,
G2R07,5.885909774045248
G2R13,4.706773246688622
G2R14,4.720736331843083
G3M07,11.601912092512961
G3M13,5.612123750826436
