,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
1A01,2.7854641726257157,0.3888587171472298,0.14472914960324063,2.77110457190511,0.30474559721549555,0.6944489902689509,5.777481861552764,1.6447941649140554
3B05,2.516077942198758,2.5715411698037953,2.3820069725027078,3.0295080972708286,2.400982090148523,2.1182264713879895,1.7751438219684843,2.445657077484457
3C02,2.455744517778833,0.17569419563081862,0.1487847557148062,2.91754527666467,0.863850488623656,1.174326456951479,6.715556858060442,0.18238475303537233
3D04,1.0737284824211553,0.55405175918016,1.737488365706902,0.3935124262603448,0.5245900485256951,0.33524172426607174,0.4469395277791923,0.3502411112387388
3D05,2.3304481664950587,0.3432595065126437,1.4354120026928885,3.469481726192638,0.6253344181551695,0.34681080384412194,2.773636695049633,0.1850735510986761
3F01,2.454619498646774,0.47177113937045856,1.8724002353903373,3.8740943401206076,1.4461095566577777,0.6291654381676756,4.686268261925391,0.303392650557731
4A10,0.7385209610961282,0.0,2.079435737464957,2.248757825136401,4.605976217938611,1.008723998599548,3.1241083479685976,0.6977146227829519
4B03,2.145882741311423,1.4925279190548282,1.3752543971149067,0.7060284351607402,1.6085623545088021,0.30542992683604714,1.429635821797249,0.9358236449540843
4B04,4.183787392966906,0.7815481428388272,0.9182460663899507,3.0727674040509516,2.7094075903714376,0.5555834045985343,7.288138414468255,0.5538072520123422
4D01,2.986905435701809,2.752068877355095,0.7060284351607333,2.0818765412450264,0.4924853880962777,0.863850488623656,3.429338515457235,5.704053726650842
4D10,1.0409741292956043,3.276355408767869,3.1224630604352948,5.299799435992922,2.5004815465201244,3.842715998673136,0.21091811256725418,0.9467397505474233
4E07,0.8509422166469515,1.6007913875169422,1.0281395614766606,3.1129157434145798,0.6712306447962915,0.5117775745251648,0.404992431522497,0.7212644603652212
4F10,1.174935276178948,0.9232739572784304,1.2619731091187307,1.7404000270924256,0.8914597371165891,0.9450355679685725,0.39293249853508366,0.32771232275980877
4G03,2.450876391817595,0.10334843817196045,0.2896080190484527,3.0808051720914884,0.702550140866522,0.23110848504023615,5.877053463191422,0.11654194743431005
4G09,1.1159080651442352,0.2574906884720099,0.8202804627366768,0.1753743640976305,0.35920726600287983,0.24525658507323417,1.96257204298735,0.13101827760401227
4H09,2.331877139678226,3.3458184469860646,2.4873440739439183,4.2692563291397985,3.2338113861309634,2.7987693834532616,1.898892237823853,2.8918860263148294
5C01,1.0962891750543815,0.16766271267852006,0.6167750775023461,0.8548131908755537,1.9511750841881639,0.47910167181137364,4.605976217938506,0.46549501479573685
5D01,0.9819851249772884,0.7681292756861655,1.668366146060009,1.8198596693884221,0.6858285434736108,1.3366017780547848,0.7643549975120576,0.4236272002379273
5F01,1.0269417700949213,0.8398708205869692,1.69300973641878,1.3224931207214048,1.3734073023042326,0.8114476922596696,0.9164872298695689,0.49073761006173433
5F06,0.653633761796431,5.459060176413803e-15,0.5476382000723681,0.8548131908755436,1.2907953331077853,1.1088319227993324,1.5590752737637699,0.4122553459060838
5G01,2.03680810959712,2.764571085863765,2.360427704306379,3.094408305191577,3.3522238446576664,2.6280417746336253,1.5024690914815582,2.4028034175255644
6C01,1.5748788071733055,1.1354721870415079,2.07209290315675,2.496123852550049,0.8548131908755294,0.9164872298695308,0.32441984095218374,0.8513296876361103
6D02,2.178296890131239,0.8426199973809076,0.8103903846295175,0.3194120107731502,2.2066291967716385,0.20981908709054453,0.5030958121551812,0.1709549227947206
6D03,2.8463649637888424,2.1025761253781186,0.6967669777408707,1.6928191499115626,3.0066869198176054,1.644454373330394,3.203131712228994,0.28648351411264594
6E01,2.928645288470479,0.9302671389086208,0.08179601498419682,0.5009305400319364,2.3212629917364813,0.11296571710599508,2.534074223496428,0.5710039341381224
6E02,4.294342034914007,0.16837848881273162,0.14294477934336855,2.8794881627215627,0.21198931502716345,0.4445586406489179,6.731600561268666,0.1873183198961596
6E03,0.7907549029397297,0.5405280014426554,0.3277123227598006,2.79301864288153,0.6162927989747247,0.43221484520969244,4.530384374542164,0.42509625360202913
6G02,0.8469300851726599,0.1976959258396386,0.32771232275978635,0.7103759334394831,0.4572935557932703,0.3244198409521921,0.8284946226101325,1.51735497910792
A1R05,2.363370441229915,0.6438935506317486,0.7145547461131191,0.7060284351607402,1.2960457903014524,0.0,0.44183566225945753,0.5493237138654535
A1R06,4.020113631947583,1.195320258907667,3.2586780441263326,4.400773732102454,1.462660659962612,0.8943070108749709,0.876252093043247,1.3858320323020805
A1R11,3.6463726613344045,0.5370918143621559,2.8211160487300964,3.9917410980616874,2.1982616253427483,0.7986506291024519,0.4191395748390724,0.27192074063357274
A2R01,2.170006784737321,2.088170215295292,1.2536666352330972,2.2350102745294462,1.8451516618654775,1.359260968731807,1.3268726249946157,1.6283394383061052
A2R07,3.1886962030636368,1.5752357837038709,1.9877191087663086,3.006686919817577,0.9950911899032873,0.8357827989506074,0.8638504886236598,0.45593783595681886
A2R16,2.4076939304022473,2.535877087695594,3.2381640741258355,3.659009475187418,3.6418632742815173,2.9324435391621573,1.7519073002731187,1.936724068729859
A3M17,0.9226355685317367,0.3614060960897469,0.44745298983092113,0.37831611240093843,2.657834498606936,4.668073793063838,0.6712306447962944,0.25536746642068564
A3R04,0.9019695538264485,1.3173881187012964,1.4425441797342085,1.9414092168843344,1.181462582778865,0.43409084219891053,0.37409279649050703,0.585805744436887
A3R06,1.2014477110505972,0.5318699782829199,1.0309487247647,1.1830401668090298,0.7516605663888237,0.7589624454195907,0.3235359070433473,0.26116569104452847
B1R08,1.7680380156986053,1.6604598854583352,1.3653602304513226,2.224404617225812,2.1988497717313784,1.7740529073554616,0.7108490652058262,1.0400698956647665
B1R10,0.09862287739266835,0.11805615598425881,1.1825255136353472,0.7365157445734765,0.3034192901655816,0.28732179170186606,2.2720220323132425,0.6388337541610295
B1R15,1.0102827100594245,0.11654194743430142,0.19644056080083053,1.109260465598636,0.7193340057338895,0.8169441184900966,1.6262097971032572,0.13636511006254362
B2M13,2.5627800317265845,2.418508879253465,1.1854831612742789,2.5319656291374053,2.06823203985976,0.9438221044285101,0.8664937250930831,0.5392262155009064
B2M14,0.2700298657560667,1.1310591600038589,0.8257691022318546,1.8424900907536792,1.9252112284691127,0.8257691022318633,0.422837377662336,0.684586681093553
B2R04,1.389934737765125,1.1004596989947164,1.2497436955275254,1.1859769056902614,0.6938484371951966,0.9372075413065729,0.9569576886554537,0.6318774569820953
B2R09,1.2536666352331278,1.1088319227993324,0.7697773919919185,0.792149441599991,0.5775618810700922,0.07666442702213892,1.0412003566033907,0.3050791046393415
B2R22,1.2132118635961262,0.14175680372389862,1.2105734749479828,1.0269417700949184,0.7748789118614837,1.1216897157055932,0.48685348203259843,1.2183538411453032
B3M03,0.9302671389086206,0.3614415523838273,0.6438935506317507,1.0530624677158986,1.4461095566577633,0.3850455854114508,2.1764326102166525,0.927092239850034
B3M18,0.35070520556990054,0.5856994352266299,1.5427293899756556,1.5499139791514869,0.4924853880962683,0.4076986611954123,0.46530720942003917,0.38516313923635526
B3R09,0.5657240694105206,0.5069977340717832,1.665307553090736,1.4425441797342253,1.3798460241711383,0.7110246114414795,0.6001708281903162,0.32624859848263077
B3R10,0.49356442575271314,0.11458242178882058,1.6742483592206206e-14,0.1377433751003075,0.2578392270819452,0.10511775699387715,2.8103624812866146,0.42509625360202913
B3R15,0.2655643494222307,0.03751332975432408,0.15726204523557358,0.6238665440288013,0.4688871596732759,0.33524172426607174,3.280767702827741,0.38686490308130345
