,MB
1A01,4.949942453507031
3B05,3.124879054637703
3C02,5.406265874689323
3D04,4.286727902957567
3D05,6.012698426942301
3F01,8.717982954551966
4A10,3.971043052353531
4B03,5.98511478180393
4B04,5.690966188521957
4D01,7.075151889054894
4D10,2.748110128629484
4E07,2.373606419601658
4F10,1.9596853382942356
4G03,5.73410817637316
4G09,6.47529239363217
4H09,3.6471153532867926
5C01,2.4374690962690644
5D01,2.1050407586551594
5F01,2.197157295387589
5F06,1.820216769699167
5G01,6.057613739617031
6C01,4.830260388121942
6D02,7.3608983430043615
6D03,4.363115917634848
6E01,3.5735190974924738
6E02,4.688870863336525
6E03,4.745890951249301
6G02,0.5290682641425533
A1R05,5.034802577886207
A1R06,7.164451285144205
A1R11,7.551187370440356
A2R01,5.24910169810181
A2R07,2.946469047405402
A2R16,3.3198210039931144
A3M17,1.612705565618873
A3R04,1.7204100729157281
A3R06,1.8815247025304007
B1R08,4.2594079361255694
B1R10,8.151062342586318
B1R15,5.378804238620872
B2M13,5.823594522943572
B2M14,2.993780790396948
B2R04,2.9055272018502762
B2R09,2.087828875628244
B2R22,1.9196238531677294
B3M03,1.8391580908863878
B3M18,2.04417130901353
B3R09,2.8366235302687524
B3R10,4.909577850363055
B3R15,6.229830794020183
C1R08,2.271540535347845
C2M04,3.0275350244200805
C2M19,5.837656752776385
C2R07,5.238051131087396
C2R09,3.063450142875291
C2R11,3.8007059443070434
C2R13,6.164632730106072
C2R21,7.2716129997157655
C3M06,1.8774563073262187
C3M08,7.9175013143911235
C3M10,7.6359852179071455
C3R10,0.3525661251613779
C3R12,5.714887645775286
D2M19,3.003756374214542
D2R04,3.8737144958385445
D2R18,2.6857884263658733
D2R19,2.3449336957712723
D3M06,3.482411921375235
D3R02,4.652827733016517
E2M05,2.6887095892667596
E2M18,5.867436966649451
E2R12,3.560529930528601
E3M02,2.0835219056611596
F1R01,7.313174209963517
F1R02,5.782242306522908
F1R06,9.150975639405837
F2M12,0.8388627754793616
F2R05,2.726689999459845
F2R10,6.476192711772179
F2R13,2.6339079240029033
F2R14,4.072089427007495
F2R15,6.986244263880227
F3M06,5.266842478737617
F3M07,6.988207874472527
F3M13,6.073273268525078
G1M02,3.098792107507588
G1M14,4.3254017016974124
G1M15,6.278117853398252
G2M01,5.2816590136301365
G2M05,7.264966457749298
G2M07,3.078706640554822
G2R07,2.978733112869959
G2R13,2.000892734774937
G2R14,3.594515685243
G3M07,3.9771568335026877
G3M13,8.430843906856893
