,glutamate
1A01,5.137279150071171
3B05,2.089840877302267
3C02,6.732640736893692
3D04,1.4721293601083496
3D05,
3F01,
4A10,6.0201015760492345
4B03,
4B04,6.903884433505928
4D01,
4D10,
4E07,2.416922447075238
4F10,3.4248353104898266
4G03,6.361507908115725
4G09,
4H09,2.232642329247452
5C01,3.4037016748063875
5D01,3.267766136240533
5F01,2.776250479195536
5F06,2.2539095331559054
5G01,2.101143470982356
6C01,1.7500336275085708
6D02,
6D03,5.872108978441479
6E01,5.69469994517847
6E02,5.704465859295111
6E03,5.33434062901025
6G02,
A1R05,
A1R06,4.4106809676684735
A1R11,7.172373951929231
A2R01,3.818521137691878
A2R07,2.9841668351642316
A2R16,3.2187778809992684
A3M17,
A3R04,
A3R06,2.8683410051044373
B1R08,3.972472635958117
B1R10,
B1R15,
B2M13,6.151335271266697
B2M14,
B2R04,2.7300067241711585
B2R09,
B2R22,
B3M03,2.5003310630594378
B3M18,3.5495731214050177
B3R09,5.094368874261298
B3R10,
B3R15,
C1R08,
C2M04,
C2M19,
C2R07,
C2R09,2.73291505846667
C2R11,
C2R13,3.361549340294172
C2R21,3.5385521291097817
C3M06,
C3M08,4.097758453278181
C3M10,4.710041905761691
C3R10,
C3R12,3.839395230938516
D2M19,
D2R04,5.302193265818736
D2R18,
D2R19,
D3M06,
D3R02,
E2M05,
E2M18,2.9573816240346695
E2R12,
E3M02,1.988086821232804
F1R01,
F1R02,
F1R06,4.95093348495178
F2M12,
F2R05,2.911021052794947
F2R10,5.179389080323314
F2R13,3.181067167156507
F2R14,4.864760972829114
F2R15,5.838903243764513
F3M06,
F3M07,
F3M13,3.6351461185547427
G1M02,
G1M14,
G1M15,2.569530189823644
G2M01,
G2M05,2.577847245611408
G2M07,
G2R07,
G2R13,3.5661623745598923
G2R14,3.55901965507871
G3M07,
G3M13,
