Unnamed: 0,MB,glutamate,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
1A01,7.80127103767402,,,,,,,0.7726316812369771,11.099284794848256,
3B05,,,,3.978268990450472,3.875719130807116,4.859315749372037,4.559017983956186,,,
3C02,11.552366700280276,,,,,,,,5.5969317537467,
3D04,10.879488142975529,,,,,,,,,4.235961793999268
3D05,12.60069196406702,,,,,,,,,
3F01,16.006848539748276,,,,,3.749019961190461,,,,
4A10,5.2044575337519765,,,,2.257485358161502,,,,,
4B03,12.164434839754396,,,,,,,,,4.910844176446772
4B04,12.48818996917372,,,,,,,0.4522717787020121,6.996358768121924,
4D01,10.319202526874172,,,,,,,,,0.4639872818206631
4D10,,,,,,2.5277240613785743,,,,
4E07,5.778021961993591,5.464884644267771,,,,,,,,
4F10,5.143410280425493,,,3.54050749958411,,,,,,
4G03,9.831092108611385,,,,,,,,5.589109148012106,
4G09,9.444661731809909,,,,1.8961200063892096,,,0.4675286768960299,,
4H09,5.451886730140956,,,3.9981538056496553,,5.252510037666777,5.413364378593243,,,
5C01,,,,,,1.6812972048519066,,,,
5D01,7.485212161890174,,1.861420367337268,4.267015872956736,,,,,,
5F01,5.211373061132339,,,3.3096135388680405,,,,2.170616752805484,,
5F06,5.145765721347297,,,,2.997178487428929,,,,,
5G01,,2.8551929984648465,,6.3607987397231005,2.816999273146968,5.408832634065074,5.03213346468167,,,
6C01,8.840298979281718,,,,,,,,,
6D02,,,,,,,,,,
6D03,8.920454290776435,8.293512252019058,7.887224735729105,,,,1.9034117818521683,0.4340348242850765,10.417246255261375,
6E01,4.904552173900325,,6.5792194560533295,4.32906662606091,,,2.0787623082749387,0.7726348855029098,9.995149060098043,
6E02,12.219758227506626,,,,,,,0.5629773598440336,5.335632693842139,
6E03,8.547415643313284,,2.030671569601032,,,,,0.5076514343782053,4.596261673772873,0.258036980354329
6G02,,,,,,,,0.3850622636304462,,
A1R05,,,,,,,,,,
A1R06,12.076147168541828,5.22337634937049,,,,7.918080964314415,1.790207211920069,,,
A1R11,,6.499378768574607,,,,6.143332194324588,,,,
A2R01,9.81902966973315,,,,2.295901146013182,4.267972772002215,4.589810514018336,,,
A2R07,6.1214462936042855,,,,2.681443622446566,,,,,
A2R16,6.244082963434691,2.8610951402869875,2.927708464491858,4.754391258147244,,4.820993590124028,4.941675091092024,,,
A3M17,6.431404840003176,,,,,2.482842088639665,,,,0.3725807603735599
A3R04,6.698562017746399,,,,,0.7316065009559471,,,,
A3R06,,4.371743050737655,,,,,,,,
B1R08,9.051075394176372,4.770222915393823,,,,3.8467594916512073,5.190260192796896,,,
B1R10,,,,,,0.1984283037195403,,0.4220345287730152,,
B1R15,,,,,,0.1658893946570988,,,,0.3709326370802323
B2M13,10.533904213513088,7.063501200554426,,,,4.308597159949297,,,,
B2M14,,,,,,0.877451970760786,,0.7771658720753672,,
B2R04,10.86645527631752,,,,2.545562969066199,,,,,
B2R09,5.151575649786435,4.487051850848376,,,,,,1.872883642367828,,
B2R22,,,1.0036483836129393,,,,,0.4115333730636192,,
B3M03,5.742818821563036,,,,,3.247776736842344,,,,
B3M18,4.10874022816239,,0.9636189890420486,,,,,,,0.2608460514940442
B3R09,5.61936075446036,,,,1.7140635580337709,,,,,
B3R10,8.019437926831515,,2.3342997326282875,,,,,,,
B3R15,6.3688463387166285,,1.5354771392503808,,,0.6081418160640369,,,,
C1R08,,,,,,,,,,
C2M04,,,,,,,,,,
C2M19,9.13027547732648,,,,,,,,,
C2R07,6.517275238034637,,,1.0488997563417068,,,,0.4444469550314344,,
C2R09,,,,,,,,,,
C2R11,,,,,,,,,,
