Unnamed: 0,MB,glutamate,glcnac,pyruvate,alanine,acetate,succinate,asparagine,leucine,no
1A01,,15.50981201961799,12.865275150463264,3.391749637397467,,,,,,
3B05,,6.785551708751975,,4.766712743314991,5.921160295643086,,,,,
3C02,8.658273988191581,9.816825328752598,,,,,,,,
3D04,,,,,,,,,,
3D05,,,,,,,4.489585110428492,,,
3F01,,,7.223164004264974,,,,3.6576100569384735,,,
4A10,,,,,,,,,,
4B03,,,,,,4.386782428665515,,,,
4B04,6.790265361047155,14.22555041596709,7.222755543399583,,,,,,,
4D01,,,7.102545725100267,2.5573580985547704,,,,,,
4D10,,,,,,,,,,
4E07,,,,2.9052421773073718,,,,,,
4F10,10.17734997825655,11.380632258489024,,,,3.917868969928982,,,,
4G03,,12.051026822121289,3.480877370226427,,,,,,,
4G09,,,2.134123588053664,,,,,,,
4H09,,8.07436384469743,,3.2138775862132456,8.233037173467435,5.648028194180291,9.376187928443269,,,
5C01,,,,,,2.7631497198090207,,,,
5D01,12.038147872788262,10.865530624462206,,3.157095563631126,,,,,,
5F01,13.007148632649264,10.772056069291462,,,,,,,,
5F06,,,,,,,,,,
5G01,,6.354736161847321,,4.507870976057297,7.32290588779902,5.367632615033815,8.51498438588265,,,
6C01,8.359876882041503,,,3.787116027884018,,5.8783594238278,,,,
6D02,,,,,,,,,,
6D03,,12.250782072368974,13.188071408719944,7.0545550345824894,,,7.785472518923404,,,
6E01,,15.675352224798122,10.856788037042367,5.714384430960519,,,,,,
6E02,,13.491362913500009,7.989538071576236,5.044703408585962,,,,,,
6E03,,12.862208297749527,2.850607214068509,,,,,,,
6G02,,,,,,,,,,
A1R05,11.864874828874768,,,2.290483692692347,,,,,,
A1R06,,13.85292045319246,,,,,6.73697843684508,,,
A1R11,,14.432989785726264,,4.9956182545181385,,,6.4515193441156695,,,
A2R01,10.480313490403972,14.942804070834654,,5.51041149417827,,,5.064939129581683,,,
A2R07,14.98661828213033,9.836790143092694,,,4.322628176693786,,,,,
A2R16,,6.750749247618635,,,7.020415715611175,4.147829442879209,8.925451551817345,,,
A3M17,,,2.972486389215757,,1.952225163945208,2.1079022327672536,4.462203874262383,,,
A3R04,,,,,,,,,,
A3R06,,,,4.606240356949807,,2.3096097240722133,,,,
B1R08,7.758354213610934,12.001165062972044,,6.514028332338697,4.46441986738137,4.362966781735705,5.671597097653225,,,
B1R10,,,,,,,,,,8.829572039173515
B1R15,,,,,,,,,,
B2M13,10.34984625612552,16.267483987624253,,6.265325621221581,5.452217001969622,,6.025410015512772,,,7.519079335093977
B2M14,,,,,,,,,,
B2R04,8.812017444698181,13.034376154154817,,,,,7.321107006832669,,,8.563506092206778
B2R09,,12.10368714399386,,,,,4.679495183005373,,,11.97417643428809
B2R22,,,,,,,,,,9.994204864309577
B3M03,,8.811811137584394,,,,,,,,
B3M18,9.549128734576271,12.372898723041596,,2.22730296836898,,,,,,
B3R09,,11.352705969221356,,,,3.344581477817817,,,,
B3R10,,,3.2290013691352564,,3.2114051203754967,,3.66100063723883,,,
B3R15,,,,,,,3.6636952559636375,,,6.93211072352067
C1R08,,,,4.621551759986736,,,,,,8.853646693925736
C2M04,,,,,,,5.698008652965417,,,9.472451227401567
C2M19,10.56997962784166,,,,,,4.875936220057673,,,8.598664261554738
C2R07,,,,,,,,,,
C2R09,,12.959811630948844,,,,,,,,
C2R11,,,,,,,,,,
C2R13,10.109115018925134,13.588804594838324,,,,,4.328985945924053,,,
C2R21,,9.877698974275395,,,,,5.114153840535,,,
C3M06,7.270530501236437,,,,,,5.112083881034384,,,
