,glutamate
1A01,8.55600149749007
3B05,2.8980915129203564
3C02,9.791404930528417
3D04,2.3248545746894664
3D05,
3F01,
4A10,4.032476574910232
4B03,2.557573089844176
4B04,9.875785427056607
4D01,
4D10,
4E07,7.329894872927462
4F10,4.515330003848274
4G03,7.364091077072543
4G09,
4H09,3.266561850024256
5C01,3.0533483657309564
5D01,5.514243545408008
5F01,4.165156434769573
5F06,4.207363876292902
5G01,3.6541423871253182
6C01,2.9596263973060073
6D02,
6D03,8.7012032851605
6E01,6.9075704765672805
6E02,6.591099298795532
6E03,5.65196103736341
6G02,
A1R05,
A1R06,5.532992987418792
A1R11,7.046474219286692
A2R01,6.364716697066879
A2R07,4.614269671220727
A2R16,3.987164562088306
A3M17,3.748134809041709
A3R04,
A3R06,4.777456527894427
B1R08,4.772246420273076
B1R10,
B1R15,
B2M13,7.072087823894491
B2M14,
B2R04,5.424728235398492
B2R09,
B2R22,3.1029977383743126
B3M03,3.595392599043914
B3M18,5.114270429464666
B3R09,6.533202699751021
B3R10,
B3R15,
C1R08,
C2M04,
C2M19,
C2R07,
C2R09,4.179944700324778
C2R11,
C2R13,4.881925270174492
C2R21,4.241275940164465
C3M06,2.3784590729390516
C3M08,4.416865579616591
C3M10,5.068583490062268
C3R10,
C3R12,3.829838992732808
D2M19,
D2R04,6.234677858066319
D2R18,3.8588653807102826
D2R19,4.781225636850286
D3M06,
D3R02,
E2M05,
E2M18,6.589104036181112
E2R12,
E3M02,3.55345618762007
F1R01,
F1R02,
F1R06,4.787912602716889
F2M12,
F2R05,4.095227810641248
F2R10,4.267291088480045
F2R13,5.00343164519136
F2R14,5.632200448129296
F2R15,7.789843728911812
F3M06,1.778641566697835
F3M07,
F3M13,1.215562479305342
G1M02,
G1M14,
G1M15,1.9466035306653435
G2M01,
G2M05,
G2M07,
G2R07,2.3069800689560873
G2R13,4.218204614365589
G2R14,4.643527371559212
G3M07,
G3M13,3.089341257105218
