,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
E2R12,,,,,,,,
E3M02,3.6163670756897655,,4.242177646229112,3.806491258938043,,,,
F1R01,,,,,,,,
F1R02,3.3983612233149763,,,,,,,
F1R06,7.571691110955565,,4.299148473957157,6.583238141252616,,,,
F2M12,,,,,,,,
F2R05,2.3801077388481637,7.867697100095584,4.401811121601939,4.651978536587658,3.0283624537020115,2.8155711716435,,
F2R10,,,,,,,,
F2R13,3.4724712855640414,5.6481448819040345,3.92483446437868,4.756722217347265,2.532435184549722,3.0968386128367036,,
F2R14,5.008616645353379,6.566727209195565,3.7130092531381718,4.527805878294876,,,,
F2R15,7.750057006783435,,,4.351772973436965,,,12.280204181576618,
F3M06,2.8728044585048633,10.519326787482942,4.222663924452778,,,,,
F3M07,,,,,,,,
F3M13,5.591498288528672,6.522210242545067,4.72698621567375,,,,,
G1M02,2.3649841331787376,,,,,,8.680467485199607,
G1M14,2.58268403015889,,,,,,,
G1M15,4.142517784698105,,,,,,7.851461375523037,
G2M01,2.4772181289134507,,,,,,5.579197000813097,
G2M05,,,,,,,5.782644733777618,
G2M07,2.5623800167796436,,,,,,,
G2R07,,,,,,,,
G2R13,3.394297358857721,4.373200230562099,3.0393077813812517,4.430522484972013,3.3273748292146617,2.5046132966083334,,
G2R14,3.0144991690507226,7.944835320080308,3.3865152724941563,4.3744290590784916,3.596152407587584,2.1467576275013722,,
G3M07,6.0564303710781955,,,,,,,
G3M13,4.635464422162719,7.892521443007159,4.735858771412147,,,,5.505892808963559,
