,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
1A01,5.963868734618081,,,4.633964247181693,,,11.406332404175064,
3B05,4.017069499008454,3.979698951310956,,4.859294582064733,4.563490422029451,,,
3C02,4.355096970880316,,,2.85216849916104,,,5.606059913283758,
3D04,2.1384656177707653,,2.8685725813827796,,,,,
3D05,1.9684121259066267,,,3.78271712872995,,,,
3F01,,,,4.1750429774126605,,,4.8356885760767865,
4A10,3.1428674887794568,,,,2.2735750313691647,,,
4B03,2.9797682045787264,4.073805314412345,3.481900947908169,,,,,
4B04,5.815941106921254,,,4.8973129171356335,,,6.88465815476092,
4D01,2.8071841162756073,,,,,,3.9846543448663367,
4D10,,5.799952870967715,,2.6240449670967845,,,,
4E07,2.331457215280525,,2.4797866704407694,,,,,
4F10,2.6481398309384026,4.872887690430891,3.8465974041425564,3.7154320761836357,2.7017409670135977,1.8799871830049497,,
4G03,2.817559082214265,,,3.62865304190381,,,5.594013693392193,
4G09,,,,,,,,
4H09,3.4650678037002924,4.085222654010706,3.0610930962834635,5.261076873614765,5.417747383661366,,,
5C01,,,,,,,,
5D01,,5.843836885418078,3.714686596894064,3.8322076294819976,2.8809823910736965,2.2477695468620182,,
5F01,2.4846775448254217,4.6229177430929775,3.9019534365355084,4.005578478443672,3.586837514422305,2.2035300735696914,,
5F06,3.363639445733199,3.994097115418493,,3.2374890394971465,,,,
5G01,3.457883836992172,6.466143907439137,3.1049630588373884,5.409877917467242,5.031320965806391,,,
6C01,2.590293093910436,,3.5691211512820606,,,,,
6D02,,,,,,,,
6D03,7.893979261509919,6.173520652127965,2.1489569524802263,4.587608846486921,1.9201148786588786,,10.780486855470913,
6E01,6.580518246440821,5.950119403229667,1.948393597490883,3.2738165219145072,3.9781702693376553,,10.271568668096624,
6E02,4.629704242315902,,,4.6843760202257885,,,5.25065326258757,
6E03,2.1915751084774473,,,3.3425422276774004,,,4.923363872787843,
6G02,,,,,,,,
A1R05,,,,,,,,
A1R06,10.830783373298038,,,7.915117017293593,,,,
A1R11,8.00864956081561,,,6.143188569143529,,,,
A2R01,5.158987327457511,5.470024410467409,,,4.670645839637012,,,
A2R07,2.188132755993967,4.734482873112845,3.3744771077926154,2.814372851882448,3.182032890151473,2.50630064389671,,
A2R16,3.9787571482203643,4.925226734066268,4.311248435136424,4.822990343017457,4.940588917405507,,,
A3M17,3.8135970661060465,6.607161779407784,,3.583933387632119,,,,
A3R04,,,2.80907828702621,,,,3.932376468741056,
A3R06,4.151001094837867,3.9107184438200204,2.1671135017816106,2.5979773580041003,,2.569484897419191,3.301175975934913,
B1R08,4.309158005657899,3.374498476970369,,,4.5356829939692425,,,
B1R10,,,,,,,,
B1R15,,,,,,,,
B2M13,4.989704808491563,5.665748434902486,,4.6391941234064396,4.492939412260737,,,
B2M14,,1.8996352868069377,,,,,,
B2R04,5.021185120301507,4.829003675980548,,5.118529681611484,,2.6747428973094736,4.8625771735772165,
B2R09,,,3.560877653160018,,,,,
B2R22,,,,,,,,
B3M03,3.557789482374738,4.3780704293114,3.892598151174791,4.423593379008385,,,,
B3M18,,5.264365470177139,3.345563246751535,3.1034027370021136,,,,
B3R09,4.817523157021257,7.715889111031905,2.5097154710408325,,2.534316116279461,3.2249165643184794,,
B3R10,,,,,,,,
B3R15,,,,,,,,
C1R08,,,,,,,,
C2M04,,,,,,,8.65565886659777,
C2M19,3.0313281717498644,,,3.734721394500636,,,,
C2R07,3.1665018432628664,,,1.1423791827643264,,,,
C2R09,4.313469451961755,6.27714914125386,3.647296534054581,2.471719119606826,,,,
C2R11,,,,,,,,
C2R13,5.003929343035634,5.824384214527511,,,3.2547920458064725,,,
C2R21,4.918409219898384,,,5.698939729256002,,,,
C3M06,1.76334415204741,,3.2090835066112566,3.564792300889446,,,,
C3M08,7.081684698177841,9.466665790964731,3.000016589601226,4.807611557129914,,,,
C3M10,6.344381839062753,,3.1758306688661073,5.434320871700255,,,,
C3R10,,,,,,,,
C3R12,,,,,,,5.511272868044964,
D2M19,3.8063571948208343,,,,,,,
D2R04,4.400693084876205,3.7964701336995317,4.149719522371816,4.692527327655905,,,,
D2R18,3.4013421284532135,,,3.834880745325325,,,,
D2R19,2.8555463075868173,,3.8778364741244173,2.9512786699728304,,,,
D3M06,3.5173889945678343,8.583013826435995,,,,,,
D3R02,,,,,,,,
E2M05,,,,,,,,
E2M18,8.754349218410493,,,4.736605368871532,4.671668232490609,,9.333096983462383,
