Unnamed: 0,MB,glutamate,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
1A01,3.4462386705431034,15.510185438989192,4.748863404993995,,,2.91969589658371,,,12.910174665360714,
3B05,,6.785311990030727,4.7734538909248725,5.9175324707007215,,10.852526685180704,10.783536757391817,,,
3C02,8.640272561088272,9.817366124972583,,,,,,,6.249119732110596,
3D04,4.8533781887628855,3.217946213888304,2.3413079807780326,1.4517751638455223,5.082737374747028,,,,,
3D05,7.356017370988844,2.7994421623069017,1.8344489901743275,,,4.483959082774875,,,,
3F01,3.283243043160591,2.6136524635960714,,,1.9090859368813613,4.881832249509997,,,7.341117487436122,
4A10,,,,,,,,,,
4B03,5.158353241398668,3.867742075579296,2.8771088177982302,3.5722254451682263,,,,,,
4B04,7.398496363820565,14.225900101808794,6.00286599386552,,,2.8854303872068177,,,7.2494043485425905,
4D01,13.32007876485696,,2.656730532479971,,,,,,7.114834128529106,
4D10,,,,4.614729856285701,,2.793784222647561,,,,
4E07,8.576549301066704,3.45445472208119,,,2.4822860901839348,,,,,
4F10,10.177179517769016,11.380624948787815,2.688479456663135,4.056388694615403,3.9483649845580935,5.051078727380135,3.7123462716497273,4.725639039141283,,
4G03,5.790472192822974,12.051424166950463,,,,,,,3.418878218230652,
4G09,9.587602749860608,,,,2.425747026147381,,,,3.0355064138149217,
4H09,,8.074354927089002,4.155402824927983,8.261762384444575,5.674764780361845,9.378289081834234,11.475367264313936,,,
5C01,10.81049723246967,8.489919797783626,,,,,,,,
5D01,12.038341460698458,10.868069448573175,,4.480415943079658,2.6503989711246154,4.625506078532171,4.376554264798377,6.758712378525906,,
5F01,13.007343178135104,10.773351636692896,3.351801698391828,5.030520760823413,4.590618296969198,6.178241954338686,4.686366208867475,6.7350785342404365,,
5F06,,8.046290529353783,4.056388694615403,4.616960956108605,3.723939387229768,4.177283441214886,,,,
5G01,,6.3547260113351305,5.183921592402112,7.318361190394073,5.389243209489328,8.545282436427218,10.47234737142085,,,
6C01,8.48376211035398,5.787278639165844,3.825961465069778,1.9635252689840688,5.901476252669554,,,,,
6D02,,,,,,,,,,
6D03,1.8334302464794343,12.610737179253324,7.079914441106982,5.553580917002556,2.7124897489494595,7.81348817353072,3.670630974341437,,13.190833891357627,
6E01,3.645757798344156,15.830307476599993,5.882696276199178,3.991130657729836,3.737930764781508,4.507314413735374,6.294212019165533,,10.894826767022913,
6E02,4.601691328723407,13.491718764589676,5.046386238825014,,,,,,8.018009470827357,
6E03,4.224027737321254,12.864133153907051,,,,2.865088329474855,,,,
6G02,,,,,,,,,,
A1R05,11.865057860833858,6.342138950889054,,,,,,,,
A1R06,4.170587345507689,13.853267174470236,3.703398978526157,,,6.733444382581482,,,,
A1R11,2.2684397933991294,14.433344291641015,5.03696910908243,,,6.447515441338492,,,,
A2R01,10.480448926095782,14.942832173843486,5.532778711387305,,,,,,,
A2R07,14.98645277809015,9.838793092552883,2.761948104372141,4.676012417317846,3.642392467526128,5.78036760600235,3.9869823625153615,6.0064086574072135,,
A2R16,,6.75260907867138,4.749524085236828,7.017314424961981,5.5518219722953965,8.954541119880266,10.505173991874958,,,
A3M17,12.333879355294458,5.3107093368329314,5.019606463822004,2.7742903736701243,,4.495941143197782,,,,
A3R04,11.16511196333892,,2.6103529985160545,,4.396092973668018,,,,5.010881847669026,
A3R06,,8.273790608028033,4.613059723953968,5.21467836278736,2.409807912162406,4.5305997318927504,,6.927494340074782,3.5749795175786483,
B1R08,7.757874482233442,12.004291272248793,6.537861494730437,,,,7.85206976967727,,,
B1R10,5.705599744446815,,,,,,,,,
B1R15,,,,,,,,,,
B2M13,10.34994531627304,16.267559108435954,6.263789382056978,5.450292491635009,4.540554301110808,6.022915532026081,10.596022474575651,,,
B2M14,,,,0.5516509480230353,,1.851942986535488,,,,
B2R04,8.812404108779681,13.034818476999916,5.974710132143488,5.792951117300162,3.825309804175872,7.3481980900908,4.109379871139608,8.293340974175553,5.321534563582943,
B2R09,14.484627842850765,,,,6.936552298427628,,,,,
B2R22,,,,,,,,,,
B3M03,13.05389552910343,8.299215886009147,3.4143571914335715,3.2554192596619926,2.750489681613411,5.487823210870323,,,,
B3M18,,12.37342328520827,3.167290761658294,4.123973224961604,3.6658292079389465,5.624361989584321,,,,
B3R09,,11.353180012857123,4.08664258874853,4.154933105621826,3.3695063117740807,2.548310619427303,4.254581290634476,4.880739614872391,,
B3R10,,,,,,,,,,
B3R15,15.464996772057203,,,,,,,,,
C1R08,,,,,,4.393241946660642,,,,
C2M04,,,,,,,,,,
C2M19,10.570132120836446,,2.44296385343264,3.5238700046661497,,4.897881729965272,,,4.760322913593432,
C2R07,13.246089661840228,,,,,0.832044982031061,,,,
C2R09,,12.961890568984415,4.504532412086207,3.720536452504817,4.0665598848264,3.041230616479008,,,,
C2R11,10.79088195096824,,,,,,,,,
C2R13,10.109980991472098,13.590343181564634,5.817942387631702,,,,5.798890121585933,,,
C2R21,5.053266341964205,9.878228452116929,4.1145909671184855,,3.372791274634733,5.112280483426939,,,,
C3M06,,7.957475149468671,2.5179243151582478,,3.323498823094996,5.11075976479082,,,,
C3M08,2.4731435043112966,7.280423824385304,6.699456922001704,,4.45055458694338,8.37125830934281,,,,
C3M10,2.8688967346459964,11.948769225843044,5.101698605289667,,3.5227336894739016,6.863777792822006,,,,
C3R10,12.746995520593345,,,,,,,,,
C3R12,6.481176279114064,9.579703623567369,,,,,,,3.9097413822474096,
D2M19,16.719718952387645,9.526432259664295,5.816422852716827,3.72203396503405,,4.9556837965810825,,,,
D2R04,,15.02117987314762,4.990251704267403,4.413560808852768,6.116390671045849,9.346202219154666,,,,
D2R18,,9.18345616134317,3.403793595368103,,,4.033830238465259,,,,
D2R19,,8.906852402949797,3.280490111624768,,,4.861593148609262,,,,
D3M06,,,2.941553066065812,4.258423092145422,,,,,,
D3R02,17.729874778212206,,,,,,,,,
E2M05,,,,,,,,,,
E2M18,1.9722826084416747,9.622178301578106,9.337584401170298,2.9278498035514504,2.9249394742281223,8.108773303503762,7.8204267637946625,,10.479178226599586,
E2R12,9.449464116423036,,,,,,,,,
E3M02,10.064254915866618,6.208371859561323,3.470959614032772,,3.9058616627102793,7.690441255017102,,,,
F1R01,,,,,,,,,,
F1R02,17.20811881599016,,3.015011824798877,,,,,,,
F1R06,2.569449634252929,14.458748726372392,6.007656086580856,3.544743753874793,6.04120904774432,11.364360478294277,,,,
F2M12,,,,,,,,,,
F2R05,10.931694834730614,12.06299597682092,3.82833213270612,4.3573434178937855,7.552010014348763,9.120909850725514,6.586664816954131,6.074670776123562,,
F2R10,,11.943646178388937,,,,,,,,
F2R13,9.63592293806404,10.6864428142291,3.974008664541954,3.608469552447776,6.840765067617112,7.660201008958217,4.442593910955996,8.277706632468096,,
F2R14,,13.598168131757337,4.612878859504092,3.581874500342592,4.7648435448499695,6.127679688560996,,,,
F2R15,4.2602176409620505,17.02143687719297,5.300516685743304,,,5.1354553568497865,,,14.423658813376926,
F3M06,6.3676490636503535,4.626928921039241,4.075948995841261,2.328961129499493,6.327123684831813,,,,,
F3M07,11.952794192525753,,,,,,,,,
F3M13,8.196975177531272,4.531132377099622,8.327136733053987,2.9840502249892245,6.721216058594788,,,,,
G1M02,,,,,,,,,8.851692511701886,
G1M14,11.86206980938822,,1.8269379598884463,,,3.870856274929742,,,,
G1M15,7.301614892070354,6.809974077694946,3.990899287089078,,,,,,7.205948078516653,
G2M01,12.91960191542598,,,,,4.105340085736281,,,,
G2M05,12.11798925887821,5.8895640429423,2.455181245869904,,,,,,6.432362786707875,
G2M07,9.339743007964906,5.466876244864986,3.970374926342996,,,,,,,
G2R07,11.783806468261876,7.873140016822087,,,,,,,,
G2R13,9.429447238864718,11.11945413269403,2.791685589862801,3.938057486504268,4.578636713349678,7.312601880844574,3.8048619898781326,3.63815420940149,,
G2R14,8.965934388888291,10.228612325505749,3.1249794448218147,4.1034572015698085,4.983537420253741,5.675518193230554,5.701012116218771,,,
G3M07,13.096720215580964,,2.484709369645575,,3.907577243712305,4.051201473457404,,,6.406940400854748,
G3M13,14.272223214776645,4.318309746834014,5.079696568487686,4.304329178570979,5.662221445797301,,,,5.258913297987436,
