,MB
1A01,7.8014522320802735
3B05,
3C02,11.552680238773558
3D04,10.879508493065199
3D05,12.600699704109674
3F01,16.005489645655505
4A10,
4B03,12.166347009937557
4B04,12.489652371028397
4D01,10.320208627668137
4D10,
4E07,5.779842930364953
4F10,5.1443135207948645
4G03,9.947997984084948
4G09,9.446200188971149
4H09,
5C01,4.802055734879388
5D01,7.485212161890174
5F01,5.2122337127548555
5F06,
5G01,
6C01,8.835772083415192
6D02,
6D03,8.921694443012033
6E01,5.003431645191329
6E02,12.220484117891623
6E03,8.631093346373385
6G02,
A1R05,
A1R06,12.110018524914956
A1R11,6.114819754105219
A2R01,9.81902966973315
A2R07,6.123714031373593
A2R16,
A3M17,6.432073751068405
A3R04,6.7038182081416045
A3R06,
B1R08,9.052320749863892
B1R10,
B1R15,
B2M13,10.533904213513088
B2M14,
B2R04,10.86645527631752
B2R09,5.150338820048116
B2R22,
B3M03,
B3M18,
B3R09,
B3R10,8.020431897027297
B3R15,6.369488630136233
C1R08,
C2M04,
C2M19,9.13027547732648
C2R07,6.516075330076336
C2R09,
C2R11,
C2R13,13.547638705412057
C2R21,4.761828529796247
C3M06,
C3M08,3.022251307293975
C3M10,3.2550417086806087
C3R10,
C3R12,8.202547108224367
D2M19,
D2R04,
D2R18,
D2R19,
D3M06,
D3R02,
E2M05,
E2M18,7.752913727720328
E2R12,
E3M02,4.342889225305876
F1R01,
F1R02,
F1R06,2.6554804026061416
F2M12,
F2R05,6.556943081616986
F2R10,
F2R13,6.897990046046382
F2R14,
F2R15,7.380805358364145
F3M06,5.183035501492467
F3M07,13.258421280345805
F3M13,9.849802217558395
G1M02,
G1M14,5.66530874257691
G1M15,12.950876073948418
G2M01,6.09105784929115
G2M05,14.369171713006612
G2M07,
G2R07,5.645610320203598
G2R13,6.396395354509664
G2R14,6.2993732562746905
G3M07,5.833572910827455
G3M13,9.906764321403573
