Unnamed: 0,MB,glutamate,glcnac,pyruvate,alanine,acetate,succinate,asparagine,leucine,no
1A01,4.947534199733675,2.415639768505402,,2.5659513637542672,,0.1089892198400097,2.6679233471555706,0.3049699519057183,,
3B05,,,1.701368246191498,2.3020077712642864,2.4985787528891774,2.283219687136772,,2.3898180407899754,2.033676376369881,2.382890644917788
3C02,,,,2.2369329191030847,,,2.9050994656933997,0.8637499824586031,,0.2274185371237592
3D04,,,,,0.9117428195502612,1.5858514696517692,,,0.1975433991294318,0.2103312960720784
3D05,,,,2.076281199604596,0.204337246676995,,3.4622541785021044,,,0.1388772720759095
3F01,8.716648255213617,,,2.234247625075394,,1.806920301380988,,,,0.2010619580159436
4A10,,,,,,,,,,
4B03,,1.5444297217256615,,1.9887460009150808,1.32109950366298,,0.586657377045749,1.532957534926968,,
4B04,5.689385495330247,,7.254001622143821,,,,2.9970856297803508,,,
4D01,7.068236783407191,,3.186141443720998,2.986948148350616,,,,,,
4D10,2.6436497482858963,2.711105432243644,,,,,,2.435348896494776,,
4E07,,,,,,,,,,
4F10,,,,,,,,,,
4G03,5.732714696947763,,,2.230509047373303,0.1428181594423947,0.2905137635032143,3.033046531966666,0.7024684014667697,,0.1166989233844906
4G09,4.740310070276429,,1.8844804999690452,,,,,,,0.1605956476332669
4H09,,,1.8318625334792435,,3.2477845141901773,2.474470251783487,,,2.407612835900671,
5C01,2.3679739614709603,,,,,,0.7701553604590902,,,
5D01,1.894272092405418,,,,1.383807440203012,,1.7466284682277642,,,
5F01,1.947776373725851,1.0831325374804766,,,,,,,,
5F06,,,1.5588938804800263,,,,,,,0.4123603370805487
5G01,4.452864544199974,,,1.8495943576051048,2.4837372399961497,4.067878200356168,3.085939731330325,,,2.3408573377389827
6C01,,,,,,1.931761796093465,,,0.9163805995926402,
6D02,,,,,,,,,,
6D03,3.361098708031993,2.272353698310208,3.0267940606962007,2.6346526810307,1.9617108545257544,0.6118614733185275,,,,0.2145398561968211
6E01,,1.934258338708475,1.3318941874725465,2.708372671043541,,0.0687559078013383,,,0.0796308887325654,
6E02,,,6.711763851711032,,0.1259711439063001,0.1431116182624511,2.6623301918084312,,,0.1741673659945463
6E03,4.744371271166632,,,,,,2.591616193990039,,,0.2989766304663172
6G02,0.5290682641425533,,,,,,,,,
A1R05,,,0.4363071168404664,,,,,,,0.5441052615614796
A1R06,7.163489440649519,,,,,,3.620850834023285,,,
A1R11,7.550297339928188,,,,,2.7566245475773474,,,,
A2R01,,2.831562087676445,,,2.0244352652937843,,,1.6928906405064417,,
A2R07,2.865020269992341,1.4542477678601693,,,,,2.9439848996994997,,,
A2R16,,,1.6827814085457893,1.8570030885204063,2.326654371165028,,2.640660900729831,,,1.86945509802846
A3M17,,,0.6711525493169691,,,,0.3781979423294819,,,0.128920333677484
A3R04,,0.1944771894846095,,,,,,,,0.4032238794670507
A3R06,,,,1.1130893774150863,,,,,,0.3131860468478002
B1R08,8.424547204671352,1.6853063190822608,,,,,2.156722671107916,2.004157462070153,1.6871454681764646,
B1R10,,,2.2698594414350364,,,,0.7362856879744786,0.1705627932247859,,
B1R15,,,,,,,,0.719250313586625,0.8168490697270373,0.1363976419772561
B2M13,,2.38241123555034,,2.5419573839555785,2.356051273819807,,2.455459551440474,1.9317410958647483,,
B2M14,,,,,,,,,,
B2R04,2.6649727529948404,,,,,,,,,
B2R09,1.735663350756939,,,,,,,,,
B2R22,1.8194867699811743,,,,,,,,1.1215592107939338,
B3M03,1.762731317621821,,,,,,,,,
B3M18,1.9718295629954063,1.6624958961507854,,,,,,,,
B3R09,,,0.4117894702936553,0.7035151656791462,0.3397835577854123,,,,,0.3191645924045317
B3R10,3.626905908249503,,2.676835462428939,,0.156628886559627,,,0.1309960313218275,0.1269778667624706,0.2728649184435787
B3R15,4.533807091271676,,3.190783563088461,,,0.1570760603977961,,0.4687406990089072,0.1975432931916164,
C1R08,2.1516995049708214,,0.4790459299065688,,0.3094327037740429,0.5593813014459845,,,,
C2M04,,,3.0970081147016173,,,,,,,0.1422524488722408
C2M19,,,,,,,,,,
C2R07,,,,,0.9658830703902668,,,,,
C2R09,2.9923270995249704,,,,,,,,,
C2R11,,,,,0.1478380984823384,,,,0.1461252744674544,
C2R13,,1.7902558509497244,,1.9257500711502653,2.2254762201978906,,,1.6262343327135844,,
C2R21,7.26955006190481,,,,0.5755933942974374,1.951946373571816,,,,
C3M06,1.781390821443012,,0.1572486528460197,,0.0979901968882091,,,,,0.0856602689223688
C3M08,7.91593856992082,,,,,1.6727250959653055,,,,
