,glutamate
1A01,2.800344243331149
3B05,2.906725852045488
3C02,3.5737988937229392
3D04,1.3678062565792175
3D05,0.6797923642285634
3F01,1.0581536291742693
4A10,1.3824270191533279
4B03,1.6729791150601372
4B04,4.031420478884467
4D01,3.4063030117100372
4D10,2.7475718561927636
4E07,1.4927826427749766
4F10,1.3442838029757223
4G03,3.4693595454901573
4G09,0.375642840276561
4H09,3.151608629596434
5C01,1.4215443950432882
5D01,1.2148517023336747
5F01,1.1675906291761
5F06,0.48793823576652884
5G01,3.2510643489081787
6C01,1.7129256487159599
6D02,0.11645007843719105
6D03,2.5388606582861044
6E01,2.0568247415303302
6E02,3.0825422983377226
6E03,3.415476073441615
6G02,0.07356882166519955
A1R05,0.3487963502792866
A1R06,2.4171902061682617
A1R11,2.549779307853469
A2R01,2.9114622193165696
A2R07,1.5233417571784968
A2R16,2.8102979651667184
A3M17,0.3172473426761174
A3R04,0.10760777762348557
A3R06,0.8456426214850187
B1R08,1.8639063806109812
B1R10,0.38786333445879484
B1R15,0.5143538405967931
B2M13,2.4480347758924283
B2M14,1.9925595279438872
B2R04,1.3128758139102958
B2R09,1.3824270191533292
B2R22,1.258722570324602
B3M03,1.3064234421502756
B3M18,1.8594311824522485
B3R09,2.1629441306293042
B3R10,1.0856397291729685
B3R15,0.5640938417679111
C1R08,1.8688398576329626
C2M04,0.8884582811196261
C2M19,3.0467349104954664
C2R07,2.727452617700146
C2R09,1.3243835185650892
C2R11,1.4571872655567952
C2R13,1.8783578258871885
C2R21,1.930028413777796
C3M06,1.0643733207408486
C3M08,2.290722510952266
C3M10,2.246785213549469
C3R10,0.10512382949760629
C3R12,1.5024382441607569
D2M19,0.5715828089531687
D2R04,3.216322162279201
D2R18,0.5743681976092414
D2R19,0.9482387763886708
D3M06,2.878496301739251
D3R02,0.38385040638505025
E2M05,3.0720599037635257
E2M18,1.2284015018603627
E2R12,0.7644422243452593
E3M02,0.778768072694004
F1R01,2.6531121373976873e-15
F1R02,3.0715849486413647
F1R06,1.9943866174707332
F2M12,0.1826735329854026
F2R05,1.5957055285177197
F2R10,3.0144312082797273
F2R13,1.8238053387998354
F2R14,2.505464643870911
F2R15,3.154068591700577
F3M06,1.5473408341282482
F3M07,2.8649933611299363
F3M13,1.6895967246351735
G1M02,0.03342621465659497
G1M14,3.4000740989721145
G1M15,1.4258247140228666
G2M01,4.524681027984746
G2M05,1.6728862129527855
G2M07,1.9627367819689365
G2R07,1.444596713927327
G2R13,1.1835180038024724
G2R14,0.6851398963112993
G3M07,3.68122584759975
G3M13,0.7018151703599749
