,glutamate
1A01,15.510185438989192
3B05,6.785311990030727
3C02,9.817366124972585
3D04,3.217946213888304
3D05,2.7994421623069017
3F01,2.6136524635960714
4A10,
4B03,3.867742075579296
4B04,14.225900101808794
4D01,
4D10,
4E07,3.45445472208119
4F10,11.380624948787817
4G03,12.051424166950465
4G09,
4H09,8.074354927089002
5C01,8.489919797783626
5D01,10.868069448573177
5F01,10.773351636692897
5F06,8.046290529353783
5G01,6.3547260113351305
6C01,5.787278639165844
6D02,
6D03,12.610737179253324
6E01,15.830307476599993
6E02,13.491718764589676
6E03,12.864133153907051
6G02,
A1R05,6.342138950889054
A1R06,13.853267174470236
A1R11,14.433344291641017
A2R01,14.942832173843486
A2R07,9.838793092552885
A2R16,6.75260907867138
A3M17,5.3107093368329314
A3R04,
A3R06,8.273790608028033
B1R08,12.004291272248791
B1R10,
B1R15,
B2M13,16.267559108435954
B2M14,
B2R04,13.034818476999916
B2R09,
B2R22,
B3M03,8.299215886009147
B3M18,12.37342328520827
B3R09,11.353180012857123
B3R10,
B3R15,
C1R08,
C2M04,
C2M19,
C2R07,
C2R09,12.961890568984417
C2R11,
C2R13,13.590343181564634
C2R21,9.878228452116929
C3M06,7.957475149468671
C3M08,7.280423824385304
C3M10,11.948769225843044
C3R10,
C3R12,9.579703623567369
D2M19,9.526432259664295
D2R04,15.02117987314762
D2R18,9.18345616134317
D2R19,8.906852402949797
D3M06,
D3R02,
E2M05,
E2M18,9.622178301578106
E2R12,
E3M02,6.208371859561323
F1R01,
F1R02,
F1R06,14.458748726372392
F2M12,
F2R05,12.06299597682092
F2R10,11.943646178388937
F2R13,10.6864428142291
F2R14,13.598168131757335
F2R15,17.02143687719297
F3M06,4.626928921039241
F3M07,
F3M13,4.531132377099622
G1M02,
G1M14,
G1M15,6.809974077694946
G2M01,
G2M05,5.8895640429423
G2M07,5.466876244864986
G2R07,7.873140016822087
G2R13,11.11945413269403
G2R14,10.228612325505747
G3M07,
G3M13,4.318309746834014
