,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
1A01,4.098356551120042,,,6.003415667131631,,,6.297375451826177,
3B05,3.8431008440542485,4.450952324881509,4.404134741544241,6.104930227481364,3.886650357708256,,,
3C02,5.691712257744603,,,6.673432078847391,,,7.853228485229442,
3D04,2.0406343882616933,,3.386635215567021,,,,,
3D05,3.442136631375476,,,5.035535705416439,,,4.394298659275869,
3F01,2.533472319474716,,3.4421366313754773,4.731302479530932,,,4.976875527783393,
4A10,4.192093404170602,,5.079257814623631,5.176489091425223,,,,
4B03,4.8284863895750805,4.925724587706138,3.663581125174399,,,,,
4B04,5.500286119952657,,,5.112814788736272,,,7.334927333798744,
4D01,5.791076321829057,,,,,,7.818765844779768,
4D10,,7.658201243910507,,4.363460557074453,,,,
4E07,7.287981348523626,,2.3949772521569876,,,15.60042738206767,,
4F10,2.046903388937623,2.594315463208123,2.9876790412079015,4.1621189666290235,2.238784491247696,,,
4G03,4.306277062823073,,,5.810413558098191,,,7.655942007557974,
4G09,,,,,,,,
4H09,3.4918765415441126,4.957429909481131,4.669949584863216,5.649325638738466,3.5320516238658937,,,
5C01,,,2.3496135107160927,,,,,
5D01,,7.852687655249078,3.410433061996954,4.272991921825287,2.264063588056369,,,
5F01,,4.172246684377755,3.30968673001082,4.044615843719264,1.9031557459091581,,,
5F06,5.40497247988418,,,,,,,
5G01,9.157893598330025,6.484437052027095,4.899279056594367,5.9701311292153525,3.821846488734773,,,
6C01,2.132287873368051,,3.557771264717512,,,,,
6D02,,,,,,,,
6D03,4.747139212472708,5.41332042216658,,4.727401018009382,23.872959890459104,21.07010356640465,8.001140240779852,
6E01,5.551037264409495,2.8269656356966624,,3.024276538991519,2.0626264028582977,,5.96689374098687,
6E02,4.194673802318253,,,4.983563146446693,,,5.747273405480336,
6E03,,2.0732761062689304,,3.8883566904283624,,,4.104075300494193,
6G02,,,,,,,,
A1R05,,,,,,,,
A1R06,5.843926900469293,,,3.998760534897186,,,,
A1R11,6.349453864580912,,,5.838767139851803,,,,
A2R01,4.387093059835028,4.211676822476092,,4.696462516618369,4.594899086529293,,,
A2R07,4.09976022804421,2.7545292105156753,3.9943491904465884,3.460821458869013,3.3162932925472663,,,
A2R16,3.9066060049521707,5.183788483284126,4.751939862882982,5.52016017519552,3.9734934231896224,,,
A3M17,2.7007096060783153,2.2581337829102734,,2.588017078643826,,,,
A3R04,,,,,,,,
A3R06,2.1577876567994645,1.9936377197146027,2.8045701835895844,3.339771703626078,,2.252392510042401,5.122035577031585,
B1R08,4.387764452004593,4.586088807453084,,4.210594457837684,3.078081298242828,,,
B1R10,,,,,,,,
B1R15,,,,,,,,
