 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2.571,2.852,382.5,719,139.686,1.308
2,1.077,2.057,598.333,854.167,30.124,0.675
3,2.606,2.671,664.667,1013.5,126.304,1.276
4,5.177,3.751,1148.5,434.5,71.565,1.847
5,5.455,3.929,1100.75,271.25,157.306,1.665
6,2.727,2.764,1039.75,298.5,129.193,1.281
7,2.293,2.727,1070.75,121,25.017,1.076
8,5.559,4.499,34,835,121.827,1.709
9,5.75,4.11,319.5,252,77.969,1.713
10,6.063,4.12,172.333,230,82.648,1.777
11,2.015,2.892,355.833,115.5,5.667,0.831
12,1.581,2.025,189.333,820.833,114.341,0.959
13,4.082,3.52,1012,733,38.157,1.413
14,2.154,3.275,931,731.5,143.591,0.809
15,3.996,3.063,515.75,28.5,101.793,1.615
16,3.665,2.882,731.25,740,22.166,1.577
17,2.762,2.934,907,684.667,78.774,1.106
18,5.194,3.581,929,512.667,126.518,1.749
19,1.459,2.904,289.5,215.5,10.46,0.693
20,1.702,2.445,341.167,292.333,49.008,0.856
21,2.623,3.748,451,339.667,78.163,0.966
22,1.424,2.372,821.75,112.5,69.677,0.765
23,1.077,2.377,913.625,320.375,125.122,0.646
24,5.993,4.253,537,300.25,67.209,1.739
25,2.554,2.954,85.5,857,110.456,1.188
26,3.474,3.566,672.25,592,54.401,1.377
27,7.765,4.88,1219.25,271.25,146.846,1.953
28,2.658,3.154,63.25,185.75,147.804,1.08
29,5.628,4.109,187.667,49,118.757,1.724
30,4.343,3.571,924.667,256,71.342,1.465
