 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2.119,2.988,528.000,606.333,70.233,0.986
2,2.189,2.949,530.000,581.667,24.656,0.954
3,1.303,2.221,464.833,558.000,118.339,0.731
4,1.581,2.360,462.667,668.500,144.090,0.948
5,1.702,2.501,414.125,780.500,119.604,0.912
6,1.928,3.440,463.500,884.250,36.431,0.957
7,2.397,3.202,289.500,929.500,130.409,0.962
8,2.884,3.625,200.667,844.000,41.807,0.918
9,2.258,3.336,156.667,844.333,139.808,0.939
10,1.824,2.664,290.667,483.333,40.653,0.957
11,1.807,2.533,380.000,401.667,68.106,0.990
12,3.023,3.195,490.000,388.667,58.496,1.185
13,2.050,2.737,461.667,441.000,18.726,0.988
14,1.459,2.301,498.667,249.167,110.684,0.835
15,1.494,2.669,511.500,245.500,122.905,0.781
16,2.502,3.098,343.500,213.000,128.089,1.050
17,3.700,4.753,242.000,129.000,73.072,1.009
18,3.196,3.691,116.000,220.000,127.381,1.371
19,1.824,2.523,599.250,883.000,66.114,0.896
20,2.502,3.210,629.500,777.250,58.431,1.127
21,1.702,2.518,809.833,724.667,66.342,0.934
22,2.588,3.237,992.000,678.000,18.189,1.392
23,1.980,3.065,1150.333,608.667,117.299,0.852
24,1.894,3.339,936.833,324.000,78.616,0.867
25,2.102,2.809,790.625,357.375,46.664,0.905
26,3.196,3.817,901.333,102.333,78.043,1.051
27,2.797,3.353,1020.167,152.833,125.669,1.283
28,2.206,2.796,1017.750,65.500,21.425,0.985
29,2.328,3.213,693.000,85.500,5.886,1.009
30,2.554,3.029,583.500,338.250,104.490,1.052
31,1.772,2.452,404.500,289.750,48.814,0.955
32,2.675,3.143,1048.000,897.500,150.479,1.120
33,1.668,2.616,1075.000,821.750,148.912,0.854
34,2.171,3.167,963.000,854.500,12.011,0.820
35,1.720,2.599,958.333,917.500,20.273,1.087
36,1.529,2.175,876.000,910.333,56.952,0.882
37,1.216,2.435,925.333,770.667,111.706,0.772
38,2.067,2.742,1208.250,608.500,20.395,1.123
39,2.310,2.933,1255.000,408.500,62.571,1.042
40,1.303,2.337,1262.833,487.333,49.574,0.751
41,1.442,2.474,1255.667,819.500,109.722,0.778
