 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,4.065,3.919,504,386.667,127.255,1.461
2,4.239,3.866,843.667,618,126.219,1.424
3,3.44,3.102,1032.75,899.5,167.735,1.481
4,2.38,2.87,792.5,304.5,19.683,1.057
5,4.239,3.293,496,494,71.323,1.612
6,2.067,2.828,297.833,566.833,109.983,0.962
7,3.579,3.237,973.25,440.5,125.47,1.402
8,2.05,2.521,648,473,48.532,1.01
9,1.511,2.293,815.667,766,20.171,0.854
10,2.397,2.644,1085.75,759.75,22.73,1.131
11,1.737,2.426,1221.167,25,5.194,0.901
12,2.762,3.266,643.667,561,79.144,1.01
13,2.241,2.779,602.667,356.667,129.226,1.124
14,2.345,2.662,281.667,326.333,163.21,1.137
15,1.755,2.571,882.333,347.333,19.983,0.889
16,2.276,2.595,309.667,778.333,123.959,1.137
17,2.397,3.102,58,797.25,157.521,1.216
