 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.824,2.391,443.333,445.333,20.433,0.950
2,1.390,2.185,450.667,384.333,120.174,0.871
3,2.241,3.280,366.000,178.667,129.019,1.084
4,2.276,3.585,313.667,246.667,17.103,0.946
5,1.494,2.513,535.833,244.333,148.950,0.753
6,1.841,2.312,491.667,472.333,75.700,1.055
7,1.668,2.524,583.333,783.000,148.523,0.973
8,1.338,2.074,549.667,763.000,53.616,0.901
9,1.616,2.261,444.250,986.000,71.301,0.937
10,1.859,2.917,450.000,1006.000,166.278,0.814
11,2.050,2.733,401.000,1067.500,56.310,0.953
12,1.581,2.290,266.167,930.167,49.279,0.922
13,1.477,2.759,268.500,1020.500,40.156,0.812
14,1.720,2.809,300.000,999.500,124.809,0.866
15,1.633,2.411,77.500,730.667,23.062,0.820
16,3.526,3.787,210.500,535.500,116.342,1.289
17,2.641,2.927,193.000,410.000,11.689,1.239
18,2.050,3.052,188.500,356.250,142.017,0.962
19,1.494,2.340,48.500,306.667,170.272,0.875
20,1.894,2.698,163.833,301.500,163.926,0.817
21,1.841,2.417,528.500,104.500,172.164,1.073
22,1.042,2.012,881.250,169.000,148.392,0.766
23,1.112,2.047,950.750,100.000,123.179,0.793
24,0.834,1.611,970.750,150.000,30.763,0.696
25,2.310,2.742,963.750,363.750,57.265,1.144
26,2.050,2.815,838.500,329.250,122.574,1.022
27,1.112,1.947,862.000,470.750,23.962,0.767
28,2.918,3.553,867.000,736.000,130.486,1.187
29,1.789,2.676,828.250,765.000,94.236,0.923
30,1.946,2.847,936.500,787.500,37.003,1.147
31,1.390,2.276,964.000,779.000,55.620,0.830
32,1.216,2.590,992.000,748.833,140.506,0.695
33,1.216,2.118,1003.167,819.667,126.989,0.716
34,1.164,1.983,1040.167,1001.667,105.422,0.772
35,0.938,1.930,1060.333,957.000,112.770,0.681
36,1.060,1.873,1128.500,957.875,140.711,0.727
37,1.581,2.722,1100.250,994.500,60.642,0.951
38,1.563,2.242,1188.833,843.833,65.695,1.002
39,1.737,2.691,1138.167,827.500,5.152,0.787
40,1.164,2.096,1246.167,835.167,141.809,0.772
41,1.581,2.249,1146.833,877.000,58.173,0.855
42,1.233,2.215,1166.833,680.500,97.407,0.882
43,2.102,3.293,1130.333,509.667,161.323,0.880
44,1.355,2.577,1171.333,376.833,39.118,0.681
45,1.980,2.790,1128.333,324.167,82.763,1.140
46,1.529,2.160,1114.333,234.667,46.237,0.854
47,1.946,2.695,1110.667,273.833,70.974,1.111
48,1.633,2.369,988.000,97.500,61.771,0.934
49,1.841,2.638,664.250,610.250,159.528,0.977
50,1.286,2.245,680.500,713.167,59.421,0.794
51,1.338,2.526,641.833,961.833,76.931,0.812
52,1.998,3.182,677.500,978.000,99.137,0.827
53,2.502,3.532,774.333,1007.000,126.656,1.013
54,1.685,2.460,717.500,956.750,50.981,0.886
55,1.737,2.329,868.333,975.333,125.789,0.934
56,1.755,2.853,936.500,930.167,150.474,0.900
57,1.598,2.362,739.833,144.167,136.507,0.791
58,1.598,2.385,724.667,163.667,49.857,0.879
59,1.824,2.443,752.333,30.500,131.719,1.064
60,1.390,2.931,671.000,94.500,130.135,0.693
61,1.251,2.074,605.000,119.500,151.535,0.742
62,1.546,2.254,627.500,176.667,46.975,0.860
63,1.598,2.141,635.167,396.167,51.248,0.984
64,1.320,2.464,698.833,688.500,148.861,0.885
65,2.015,2.752,189.167,121.000,81.741,0.994
66,1.720,2.816,155.667,122.000,176.870,0.747
67,2.519,2.676,238.333,170.667,125.647,1.169
68,1.390,1.914,176.000,266.500,58.134,0.932
69,2.797,3.841,1096.333,559.667,63.875,1.081
70,1.702,2.790,1084.000,630.333,56.560,0.850
71,2.102,3.155,1100.667,634.667,12.875,0.881
72,1.042,1.749,1013.000,755.000,64.722,0.825
73,0.990,2.023,967.500,927.500,142.943,0.747
74,1.529,2.383,1038.500,255.500,139.112,0.832
75,1.894,2.393,1018.167,22.333,133.512,1.073
76,1.094,2.100,1134.667,161.167,15.781,0.698
77,2.171,2.871,1094.250,468.500,31.866,1.004
78,2.918,2.991,412.000,1025.250,116.847,1.246
79,2.866,3.206,345.500,719.500,112.348,1.077
80,1.737,2.837,527.250,425.750,59.265,0.802
