 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.424,2.418,364.333,501.000,19.093,0.774
2,1.911,2.714,511.500,229.250,100.491,0.862
3,1.286,2.407,491.000,227.500,59.574,0.639
4,1.112,2.049,416.000,203.000,27.801,0.699
5,1.807,2.576,492.250,161.250,20.985,0.912
6,1.442,2.674,852.500,524.000,3.532,0.657
7,1.616,2.400,881.500,768.750,171.314,0.758
8,1.164,1.984,845.000,1034.500,35.538,0.734
9,1.894,2.939,638.667,924.500,31.551,0.864
10,1.286,2.302,603.250,829.500,82.875,0.637
11,1.372,2.389,699.833,616.500,65.556,0.848
12,1.129,2.077,739.500,556.333,100.359,0.710
13,1.216,2.042,655.000,554.000,148.191,0.774
14,1.737,2.523,696.667,239.167,97.001,0.901
15,1.963,3.402,632.833,223.667,135.785,0.925
16,1.633,2.810,672.667,35.500,117.967,0.817
17,1.824,2.701,592.000,80.875,55.437,0.876
18,1.685,2.736,588.375,890.375,159.928,0.809
19,1.824,3.224,202.167,622.667,174.134,0.763
20,2.293,3.059,180.500,712.500,54.941,1.013
21,1.824,2.607,209.167,254.833,99.700,0.911
22,2.102,2.575,130.667,183.500,151.468,1.028
23,1.581,2.626,237.000,494.833,133.305,0.713
24,1.563,2.290,729.667,645.333,118.040,0.904
25,2.050,2.822,659.500,285.833,94.912,0.947
26,1.199,1.974,633.375,67.875,142.461,0.729
27,1.702,2.485,296.250,232.250,173.911,0.788
28,1.529,2.382,282.000,307.250,165.579,0.790
29,2.171,2.856,1160.500,448.500,16.763,0.976
30,0.851,1.800,986.250,411.125,23.749,0.575
31,2.206,3.365,991.250,201.000,75.828,0.862
32,1.164,1.969,1101.333,119.833,51.340,0.757
