 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,4.465,3.969,448.667,384,116.281,1.445
2,5.212,3.858,471.333,128.667,149.931,1.865
3,3.301,3.322,578,101,37.476,1.442
4,5.107,4.189,423.333,574,105.202,1.7
5,5.733,4.934,579,1025.333,61.837,1.458
6,3.77,3.422,297,625.25,38.746,1.408
7,3.214,3.682,117.333,500.667,104.865,1.184
8,3.492,3.05,109.667,144.333,131.496,1.445
9,3.874,3.332,35.5,167.875,28.339,1.396
10,3.301,3.183,45.875,217.625,115.769,1.341
11,4.725,3.721,207.25,566.75,157.068,1.731
12,3.839,3.318,479.5,933.25,74.445,1.478
13,5.02,3.919,820.25,448.75,82.755,1.417
14,4.534,3.734,589,245.75,105.876,1.5
15,3.335,3.112,713.333,151,76.945,1.261
16,4.273,3.812,939.833,199.333,62.549,1.633
17,4.586,3.769,903,74.5,139.254,1.51
18,6.914,4.738,1019.667,89,65.336,2.024
19,5.889,4.611,956.333,548.333,120.964,1.662
20,3.266,2.846,737.75,226,132.184,1.445
21,3.249,3.51,1127.75,665.75,124.287,1.229
22,4.899,4.05,1192.25,29.875,52.105,1.44
23,4.551,3.64,693,660,113.471,1.699
24,5.941,4.303,640,892.5,130.03,1.887
25,3.596,3.403,170,669.667,78.835,1.318
26,3.318,3.437,1055.5,991.5,122.471,1.286
27,3.857,3.176,674,346.333,155.917,1.531
28,4.916,3.81,265.167,369,112.722,1.712
29,2.658,2.778,471.5,873.167,33.062,1.161
30,3.648,3.503,478.667,880,128.379,1.432
31,3.318,3.658,299,258,119.105,1.312
32,3.526,3.387,223,241.25,142.907,1.305
33,3.596,3.474,221.25,94.25,141.934,1.326
34,3.752,3.896,371,69,74.632,1.226
35,2.536,3.169,400.333,41.833,163.072,1.042
36,2.606,2.965,398.167,67.333,149.255,1.119
37,2.588,2.861,381.833,145.333,75.324,1.194
38,1.546,2.297,383.667,205.833,75.033,0.852
39,1.841,2.594,389.833,229.667,7.787,1.072
40,2.832,3.245,666.5,293.75,99.941,1.166
41,1.477,2.367,649,315.5,106.164,0.867
42,2.189,3.082,604.5,129.75,96.137,0.885
43,1.876,2.757,680.5,139,65.273,0.922
44,2.866,3.508,684.25,727.25,61.991,1.029
45,2.536,3.295,639.75,938,149.331,1.05
46,3.092,3.51,588.75,910.5,77.53,1.153
47,3.231,3.674,594.75,949.75,113.806,1.077
48,3.405,3.591,445,903.333,172.266,1.23
49,5.02,4.682,429.333,941.667,5.925,1.274
50,4.256,4.073,557,966.333,137.186,1.401
51,2.554,3.224,438,1038.667,72.553,1.07
52,2.971,3.075,459.667,1009.667,36.87,1.274
53,2.554,3.052,521,730.75,142.017,1.066
54,2.258,2.536,502,777.75,65.433,1.184
55,3.822,4.296,466.25,877.75,66.975,1.095
56,2.154,2.866,509.25,870,8.596,0.968
57,1.789,2.908,499.75,898,38.558,0.812
58,2.484,3.719,466.5,830.5,7.125,0.965
59,3.422,3.589,93.25,526.75,120.332,1.196
60,2.502,3.117,282,536,13.449,1.028
