 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,3.561,3.403,311.333,571.000,129.237,1.334
2,3.249,3.353,385.667,766.000,148.393,1.214
3,1.442,2.273,296.667,648.500,48.918,0.781
4,1.807,2.453,140.875,397.875,149.300,0.932
5,1.233,2.195,230.667,482.250,125.838,0.710
6,2.050,2.351,38.000,619.667,150.322,1.070
7,2.641,3.235,555.833,532.833,51.340,1.103
8,1.685,2.555,565.500,566.500,64.537,1.038
9,1.894,2.717,608.833,574.833,83.967,0.829
10,1.529,2.505,608.500,723.500,125.362,0.792
11,1.980,2.467,548.000,841.333,171.293,1.134
12,2.380,3.235,661.000,925.000,51.340,0.885
13,2.119,2.610,735.750,860.500,97.619,1.043
14,1.859,2.880,834.167,870.667,28.715,1.060
15,1.720,2.428,816.500,812.667,131.332,0.918
16,1.980,2.657,784.625,635.125,29.745,0.950
17,2.293,3.208,930.125,642.375,60.803,1.025
18,1.894,2.706,1149.833,867.333,122.400,0.874
19,1.616,2.158,1105.500,859.833,104.744,0.860
20,2.328,2.663,1143.750,481.500,40.986,1.168
21,0.973,1.652,1061.625,493.250,51.072,0.753
22,1.494,2.513,955.000,338.833,67.919,0.911
23,1.998,2.581,935.667,261.000,174.629,0.915
24,1.859,2.693,1065.833,303.167,25.102,0.880
25,1.442,1.995,1135.500,222.833,36.491,0.942
26,1.668,2.326,732.750,99.250,74.389,0.878
27,1.633,2.373,760.750,96.750,64.502,0.849
28,2.363,3.496,811.167,120.333,129.391,0.935
29,2.623,2.662,768.750,328.000,53.556,1.320
30,1.320,2.176,833.500,339.500,54.866,0.909
