 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.077,2.257,809.250,357.250,140.034,0.624
2,1.668,2.701,804.500,581.500,81.227,0.846
3,1.233,2.626,639.833,432.833,133.305,0.596
4,1.668,2.480,551.667,754.833,122.705,0.909
5,2.328,3.620,1058.750,732.750,55.008,0.904
6,1.303,2.426,329.333,278.500,132.064,0.684
7,1.998,2.728,1208.500,564.000,7.869,1.037
8,1.598,2.191,1199.667,537.167,158.839,0.904
9,1.424,2.573,1234.917,251.333,144.206,0.691
10,1.581,3.121,932.500,866.000,79.046,0.669
11,2.050,2.926,1009.750,891.250,7.765,0.949
12,1.199,1.769,211.000,123.667,155.026,0.825
13,1.268,2.044,725.500,413.500,61.783,0.808
