 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.946,2.988,517.000,437.000,28.072,0.865
2,1.494,2.129,564.667,316.667,111.801,0.839
3,1.077,1.940,505.000,179.667,103.092,0.744
4,1.147,2.197,502.333,154.667,101.535,0.699
5,1.529,2.314,603.750,169.750,107.403,0.873
6,2.137,2.986,610.250,94.000,47.684,0.908
7,1.390,2.093,678.000,109.000,61.821,0.824
8,1.251,2.191,654.250,123.250,102.155,0.729
9,1.268,2.179,517.750,71.250,69.647,0.833
10,1.650,2.645,350.833,196.333,78.503,0.777
11,2.137,3.054,350.333,218.000,142.306,0.896
12,1.286,1.873,334.167,242.000,129.289,0.846
13,0.973,1.731,357.667,166.167,156.038,0.757
14,0.851,1.593,386.167,109.000,15.186,0.646
15,2.189,3.117,407.375,206.750,173.626,0.960
16,1.390,1.860,425.250,197.500,55.465,0.919
17,2.588,3.101,151.333,450.000,159.254,1.063
18,2.224,2.759,175.833,544.833,139.844,1.038
19,1.546,1.848,101.333,660.500,61.607,1.166
20,1.685,2.401,121.500,757.750,43.332,0.901
21,1.598,2.237,114.250,795.000,170.676,0.890
22,2.224,3.118,172.250,867.250,35.538,1.064
23,2.432,2.702,251.750,771.125,164.438,1.120
24,1.529,2.528,238.375,731.500,117.567,0.793
25,2.102,2.373,266.000,719.750,170.407,1.106
26,1.563,2.081,319.000,746.250,169.046,0.978
27,2.102,2.391,321.500,766.000,168.071,1.120
28,1.633,2.334,425.667,834.667,75.833,0.955
29,1.372,2.152,458.167,844.500,63.958,0.840
30,2.067,2.486,440.833,936.833,46.432,0.988
31,2.067,2.645,462.833,971.333,52.083,0.971
32,1.477,2.523,538.500,1056.500,66.114,0.829
33,1.998,2.604,589.667,986.250,42.436,0.877
34,2.623,3.190,500.667,724.000,112.681,1.262
35,2.015,2.430,516.333,888.000,49.399,1.118
36,3.891,3.823,771.000,900.000,52.472,1.421
37,2.415,2.926,815.667,884.333,138.652,1.088
38,2.015,2.882,749.833,1020.833,33.811,0.923
39,1.424,2.219,723.833,1076.167,58.355,0.872
40,1.147,2.109,815.333,750.333,112.023,0.914
41,2.380,2.964,1084.667,764.333,168.024,1.089
42,1.807,2.642,931.333,806.667,47.021,0.931
43,1.199,2.126,1072.667,857.667,108.060,0.763
44,2.189,2.834,1156.333,774.000,71.003,1.104
45,2.067,2.711,1077.000,649.667,139.600,1.080
46,2.258,2.841,1023.333,557.000,129.352,1.025
47,1.859,2.830,948.333,483.333,126.158,0.800
48,1.668,2.300,1063.000,439.000,28.523,1.001
49,1.511,2.362,1098.000,476.333,71.565,1.047
50,1.807,2.436,1130.333,506.667,172.747,0.879
51,2.154,2.896,1175.333,537.333,99.605,0.923
52,1.650,2.355,957.667,1010.667,36.656,0.969
53,2.328,2.601,970.667,986.667,142.549,1.164
54,2.067,2.437,1034.333,953.000,152.049,1.221
55,1.025,1.997,1084.333,988.333,140.356,0.728
56,2.780,3.458,1089.000,81.667,27.216,1.047
57,3.283,3.736,923.000,111.000,131.186,1.143
58,3.023,3.317,825.000,370.500,40.972,1.235
59,2.432,2.714,775.500,368.500,119.055,1.222
60,1.859,2.535,744.000,519.500,152.103,0.959
61,1.807,2.509,814.250,549.750,150.068,0.990
62,1.303,2.055,863.500,617.500,102.031,0.838
63,2.015,2.458,1100.333,227.667,28.856,1.064
64,1.546,2.251,1036.500,202.333,107.021,0.882
65,1.042,1.788,1032.167,260.167,137.490,0.760
66,1.181,1.909,983.667,702.000,23.026,1.054
67,1.789,2.553,393.500,620.250,101.165,0.960
68,1.216,2.097,453.000,601.250,59.808,0.768
69,1.303,2.184,470.750,598.000,33.930,1.024
70,1.633,2.484,322.500,589.667,51.103,0.808
71,1.286,1.918,232.667,614.833,129.890,0.932
72,4.048,3.751,34.250,422.000,22.736,1.422
73,2.224,2.926,54.167,270.500,138.652,1.003
74,2.154,2.499,20.000,309.500,100.125,1.103
75,1.998,2.553,202.833,237.333,127.659,1.045
76,1.650,2.034,253.333,233.667,100.582,1.076
77,2.206,2.622,253.833,34.833,81.327,1.139
78,2.067,2.796,42.500,120.833,10.869,0.920
79,1.876,2.689,9.333,136.500,137.317,0.950
80,2.276,2.993,59.833,27.167,139.764,1.019
