 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.303,2.162,208.000,649.500,142.431,0.803
2,1.407,2.224,107.000,632.833,132.198,0.829
3,2.363,2.578,519.000,158.000,119.624,1.313
4,0.990,1.786,519.750,317.250,37.504,0.740
5,1.286,2.359,420.000,224.750,24.775,0.681
6,1.755,2.694,679.667,957.500,122.005,0.837
7,1.598,2.433,744.875,898.375,121.430,0.812
8,2.102,2.678,1225.667,541.833,131.009,1.026
9,1.372,2.192,1107.625,642.875,47.437,0.765
10,1.824,2.327,987.167,618.333,162.420,1.005
11,2.206,2.484,948.500,623.833,51.103,1.299
