 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.320,2.272,459.750,366.250,106.858,0.753
2,1.876,2.559,462.333,307.000,74.055,0.938
3,2.641,3.237,600.333,191.667,71.811,1.063
4,2.050,2.672,372.333,483.667,133.668,1.050
5,2.258,2.912,408.333,548.667,78.690,1.001
6,1.859,2.579,379.333,582.667,113.070,0.950
7,2.189,3.075,489.333,528.333,36.870,0.995
8,3.249,3.287,370.333,962.667,81.545,1.230
9,2.363,2.808,353.667,35.667,69.864,1.151
10,2.449,3.078,554.750,82.750,37.606,1.051
11,2.137,3.091,674.500,565.750,35.893,0.983
12,2.328,3.053,565.250,689.250,76.264,0.981
13,2.258,2.807,1090.000,138.667,50.079,1.044
14,3.388,3.308,1069.000,499.667,120.311,1.312
15,2.432,3.014,1065.000,566.333,149.323,1.163
16,2.727,3.266,1066.333,720.333,72.784,1.177
17,1.737,2.613,1126.333,1029.333,106.607,0.851
18,3.631,3.164,918.667,73.333,52.334,1.432
19,1.859,2.614,873.000,597.167,33.690,0.958
20,1.320,2.008,894.167,580.000,66.801,0.874
21,1.008,1.907,814.000,505.375,121.218,0.633
22,1.025,1.636,773.375,642.000,80.727,0.741
23,2.658,3.626,737.333,658.667,19.093,1.037
24,1.563,2.363,1178.750,60.375,122.471,0.888
25,1.598,2.123,1047.375,76.125,138.145,0.979
26,1.494,2.198,909.125,24.500,113.875,0.872
27,1.581,2.713,741.833,72.000,121.759,0.753
28,2.641,3.323,706.833,226.667,99.898,0.959
29,3.266,3.229,447.333,535.667,75.018,1.289
30,2.901,2.988,419.667,512.333,53.973,1.236
