 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.320,1.907,1031.167,676.833,51.546,0.885
2,1.251,1.844,1077.167,639.333,158.325,0.857
3,2.328,2.460,710.500,117.500,39.019,1.235
4,1.216,1.984,679.750,195.500,35.538,0.884
5,1.303,1.865,685.750,546.250,46.432,0.951
6,1.077,1.674,679.000,468.500,36.193,0.845
7,0.886,1.565,753.500,438.500,120.343,0.815
8,1.060,1.747,727.000,801.750,144.211,0.737
9,1.060,1.726,523.250,68.750,113.629,0.796
10,1.042,1.702,523.500,253.500,75.426,0.823
11,0.851,1.702,537.750,243.250,75.426,0.680
12,0.712,1.626,493.250,247.500,107.700,0.583
13,1.372,2.030,408.500,886.250,35.754,0.886
14,1.181,2.021,275.250,848.500,24.057,0.806
15,1.025,1.602,294.833,802.500,151.327,0.776
16,1.077,1.711,354.000,852.833,41.878,0.815
17,1.650,2.042,908.833,898.667,71.175,1.039
18,0.834,1.751,887.500,1054.375,144.964,0.579
19,1.008,1.755,1188.750,65.625,34.287,0.770
20,1.164,1.664,1190.125,47.750,21.485,0.920
