 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.616,3.277,697.125,452.250,95.481,0.588
2,0.973,1.958,692.750,416.250,104.621,0.589
3,1.650,2.662,647.000,413.250,53.556,0.782
4,1.650,2.442,675.875,377.875,23.452,0.830
5,1.529,2.262,646.625,328.375,33.111,0.839
6,1.928,2.657,427.667,168.667,60.255,0.917
7,1.442,2.331,376.833,128.833,113.908,0.819
8,1.268,2.401,448.000,61.500,124.563,0.676
9,1.268,1.962,459.167,52.500,55.954,0.797
10,1.494,2.584,521.625,275.875,144.080,0.770
11,1.094,1.933,545.625,279.375,57.529,0.733
12,1.720,2.743,516.500,550.250,35.218,0.789
13,1.980,2.980,493.333,527.667,144.904,0.924
14,1.390,2.559,513.500,584.000,101.889,0.727
15,2.554,3.401,570.833,589.167,65.587,1.074
16,1.824,2.970,576.000,539.000,60.781,0.934
17,1.824,2.954,549.667,476.667,47.411,0.786
18,3.353,3.564,467.500,356.667,51.506,1.184
19,2.102,2.588,336.333,262.333,49.821,1.035
20,1.338,2.700,404.333,211.000,129.388,0.593
21,2.033,2.910,312.667,206.333,131.634,0.902
22,1.720,2.430,279.250,133.125,98.185,0.970
23,1.129,2.407,280.625,405.750,120.426,0.624
24,1.494,2.176,275.875,398.375,57.995,0.876
25,1.390,2.320,291.375,391.500,149.246,0.729
26,1.616,2.759,206.833,390.667,142.765,0.748
27,1.911,2.868,161.583,365.750,150.391,0.772
28,1.772,2.850,83.000,321.000,171.355,0.919
29,2.276,3.031,131.000,502.333,47.056,0.875
30,1.268,2.255,105.500,517.833,42.236,0.683
31,1.147,2.256,74.333,484.833,157.681,0.632
32,1.824,2.800,81.167,501.000,138.180,0.865
33,2.866,3.270,185.000,598.000,59.300,1.141
34,2.276,2.953,173.667,622.000,43.191,0.963
35,2.085,2.840,267.333,699.667,55.081,1.026
36,1.946,2.675,247.667,673.333,104.264,0.853
37,1.824,2.947,259.667,806.000,20.056,0.883
38,2.467,3.102,140.000,787.000,37.519,1.367
39,1.650,2.319,55.000,748.000,152.949,1.031
40,1.147,2.426,61.000,738.000,144.583,0.697
41,2.050,2.921,71.000,789.000,167.845,0.835
42,1.633,2.535,35.000,850.667,146.310,0.926
43,1.789,3.517,27.333,878.667,12.995,0.708
44,1.859,2.405,47.167,948.667,16.449,1.040
45,1.581,2.520,66.000,966.500,83.494,0.791
46,1.424,2.505,102.333,992.500,74.745,0.707
47,1.042,2.113,93.167,955.833,110.695,0.707
48,2.241,2.874,960.750,650.000,49.185,1.033
49,0.973,1.967,938.750,632.250,58.707,0.625
50,0.730,1.901,957.000,601.750,98.973,0.494
51,1.164,2.043,968.750,627.000,52.206,0.942
52,1.911,2.641,929.000,610.750,56.706,0.961
53,1.129,2.246,941.250,560.000,112.426,0.711
54,1.650,2.727,1008.000,564.750,154.983,0.775
55,2.050,3.112,895.500,698.500,114.394,0.958
56,2.189,2.662,960.250,720.000,143.556,1.176
57,1.511,2.608,988.250,652.500,116.241,0.767
58,1.303,2.317,977.750,665.000,119.846,0.769
59,1.668,2.943,1023.250,649.250,145.954,0.752
60,1.251,1.984,917.750,651.750,125.538,0.775
61,1.946,2.431,932.000,640.750,122.829,1.124
62,1.372,2.559,918.000,719.750,34.509,0.778
63,1.459,1.952,914.250,784.750,68.199,0.990
64,1.616,2.509,902.750,837.500,150.068,0.830
65,2.415,3.085,649.333,597.000,144.273,1.029
66,1.946,2.602,640.667,649.667,11.689,0.927
67,1.616,2.279,548.333,638.333,109.134,0.884
68,1.598,2.452,575.333,693.667,36.254,0.891
69,1.546,2.122,612.000,719.333,62.904,0.982
70,1.581,2.387,583.333,732.000,83.660,0.879
71,2.675,3.404,605.333,767.333,66.413,1.089
72,2.137,2.813,632.333,730.000,128.660,1.007
73,2.085,2.752,519.333,896.667,28.610,1.097
74,1.268,2.636,565.667,910.333,156.425,0.687
75,1.616,2.332,949.000,241.750,66.695,0.928
76,1.286,1.888,991.500,277.000,60.751,0.883
77,1.876,3.157,959.250,287.500,126.511,0.794
78,1.459,2.282,959.500,345.250,107.650,0.819
79,1.963,2.683,1024.000,394.000,62.176,1.113
80,1.529,2.673,991.500,472.000,149.642,0.798
81,1.894,2.809,996.500,495.500,121.079,1.110
82,2.206,2.645,889.750,570.250,76.310,1.195
83,2.067,2.953,828.750,672.250,169.066,0.968
84,1.459,2.103,816.750,639.000,32.196,0.913
85,1.268,2.222,827.750,622.000,35.340,0.810
86,1.511,2.278,867.500,629.250,75.763,0.936
87,1.320,2.160,819.250,714.750,111.477,0.763
88,1.963,2.648,769.250,753.750,163.369,0.942
89,1.338,2.157,706.000,774.000,108.712,0.899
90,2.085,2.735,712.250,752.500,126.180,1.068
91,1.251,2.230,709.250,704.500,102.804,0.735
92,2.345,3.115,839.000,787.750,156.961,1.008
93,1.980,3.390,838.250,818.250,105.792,0.727
94,1.494,2.244,798.500,888.750,119.954,0.908
95,2.137,2.835,856.750,861.750,128.868,1.017
96,1.338,2.138,844.750,890.250,114.590,0.875
97,3.127,3.850,721.250,873.250,119.197,1.044
98,1.459,2.417,866.500,1004.250,115.866,0.914
99,1.702,2.289,773.250,1045.250,149.744,1.019
100,1.147,1.891,817.750,1005.000,138.532,0.827
