 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.841,2.578,303.500,279.333,122.471,0.887
2,2.762,3.114,592.250,245.500,60.180,1.206
3,1.807,2.697,606.750,111.000,115.313,0.967
4,1.789,2.830,736.833,85.667,132.483,0.882
5,1.963,2.611,404.000,705.000,77.367,0.923
6,1.789,2.456,385.667,714.667,79.695,0.967
7,1.633,2.302,423.333,809.000,66.371,1.041
8,1.720,2.413,390.667,918.667,169.509,0.791
9,1.755,2.474,135.667,914.000,83.885,0.791
10,2.085,2.714,621.250,736.000,146.889,1.103
11,2.154,2.686,540.667,489.833,39.026,0.985
12,2.206,2.973,230.333,338.000,108.970,1.009
13,1.303,2.185,120.333,344.167,164.846,0.882
14,2.588,3.886,100.750,667.750,157.567,0.911
15,2.119,2.559,891.500,402.500,101.889,1.053
16,2.745,3.488,1057.000,192.500,112.203,1.113
17,2.449,3.098,1030.000,993.167,138.738,1.002
18,1.650,2.430,864.333,771.667,119.809,0.964
19,3.162,4.264,465.750,29.250,134.061,1.099
20,2.397,3.261,49.667,107.667,165.964,1.050
