 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.546,2.071,945.167,616.000,72.719,0.929
2,0.990,1.694,936.833,459.500,56.104,0.744
3,0.799,1.384,924.333,390.333,35.960,0.781
4,2.171,2.575,407.667,766.000,53.326,1.147
5,2.224,2.339,508.125,210.500,50.143,1.141
6,0.990,1.482,709.833,346.500,101.976,0.769
7,1.477,2.007,842.500,229.750,73.796,0.896
8,0.938,1.744,687.667,829.667,130.914,0.655
9,1.251,1.733,713.125,1006.125,36.107,0.903
10,0.869,1.424,841.500,575.000,128.108,0.789
11,1.129,2.108,1128.125,236.375,121.578,0.900
12,1.320,1.713,1005.333,430.667,49.160,0.990
13,4.499,3.183,836.333,447.333,110.186,1.904
14,0.886,1.561,704.667,732.500,76.159,0.747
15,0.695,1.301,748.667,758.333,168.311,0.703
