 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2.588,3.342,428.667,631.667,65.120,1.004
2,2.293,2.988,332.667,600.667,70.233,1.222
3,2.154,2.988,332.000,536.667,70.233,1.012
4,2.050,2.979,277.000,476.333,52.792,0.912
5,1.581,2.988,248.000,624.333,160.233,0.768
6,2.171,3.074,310.000,686.000,120.964,0.952
7,2.050,2.913,266.333,836.333,66.915,1.070
8,1.946,3.127,315.000,808.000,17.162,0.926
9,1.859,2.559,362.667,758.333,55.491,0.975
10,1.546,2.554,402.667,787.333,130.815,0.839
11,1.755,2.637,445.667,789.333,10.561,0.999
12,1.407,2.562,426.667,678.000,112.166,0.777
13,2.901,3.549,396.333,601.667,15.068,1.125
14,2.571,3.132,396.667,437.000,124.136,1.145
15,2.484,3.283,279.333,322.333,24.507,0.964
16,1.841,2.366,293.000,267.000,105.068,0.991
17,1.286,2.104,299.667,74.000,118.706,0.831
18,1.181,2.368,314.000,70.000,130.486,0.713
19,1.320,2.962,296.667,26.667,122.276,0.796
20,1.894,2.643,390.333,588.667,74.578,0.996
21,2.397,2.964,362.000,826.000,168.024,1.007
22,2.033,2.769,456.667,885.667,41.785,0.931
23,1.355,2.407,516.000,822.167,95.763,0.665
24,1.355,2.200,477.167,837.667,31.945,0.746
25,1.268,2.204,460.167,836.833,85.426,0.681
26,1.233,1.959,459.500,758.000,137.726,0.845
27,1.650,2.442,501.500,880.000,98.276,0.808
28,1.355,2.722,502.833,1002.500,115.324,0.653
29,2.276,2.743,475.167,1037.167,58.092,1.083
30,1.424,2.704,469.333,1024.333,73.479,0.836
31,1.494,3.036,522.333,983.000,138.814,0.757
32,1.876,2.960,492.333,966.667,168.440,0.892
33,1.963,2.562,531.667,878.833,22.166,0.926
34,1.946,2.749,639.125,762.875,140.106,0.902
35,2.085,2.803,664.500,701.750,107.796,1.007
36,1.546,2.632,701.750,696.750,145.713,0.840
37,1.546,2.127,564.500,712.500,102.529,1.133
38,1.807,3.191,547.750,741.750,125.331,0.815
39,1.372,2.414,601.000,854.250,32.171,0.783
40,1.581,2.517,614.250,874.250,75.600,0.778
41,2.588,3.494,667.750,953.750,69.001,1.035
42,1.633,2.517,642.000,933.500,127.020,0.904
43,1.668,2.472,576.000,1000.250,47.161,0.955
44,1.859,2.861,616.500,1011.750,125.154,0.982
45,2.519,3.409,876.500,614.750,113.344,0.983
46,2.971,3.844,907.250,588.750,128.737,1.123
47,2.571,4.011,836.500,639.500,114.249,1.211
48,2.206,3.346,941.500,690.250,154.949,0.950
49,3.023,3.572,963.500,765.750,165.579,1.225
50,1.303,2.680,936.000,845.750,133.506,0.699
51,2.571,2.941,824.000,889.500,12.947,1.372
52,2.050,3.053,839.000,938.250,76.264,1.039
53,2.571,2.827,932.250,989.500,49.254,1.274
54,2.102,2.812,832.250,1056.000,169.875,1.076
55,1.338,2.270,938.750,834.250,13.431,0.758
56,1.216,2.023,906.500,844.250,173.454,0.799
57,1.303,2.162,870.750,815.000,82.117,0.758
58,1.372,1.925,845.000,735.250,38.047,0.909
59,2.484,2.960,820.000,559.750,78.440,1.116
60,2.467,2.975,1010.250,666.000,50.845,1.081
61,2.380,2.965,1001.750,687.250,75.192,1.035
62,1.459,2.610,982.000,530.250,133.977,0.769
63,2.224,2.887,994.250,534.250,38.047,1.056
64,2.258,2.742,941.750,463.250,57.265,1.052
65,1.286,2.945,893.250,462.750,40.462,0.613
66,1.755,2.620,915.250,360.000,50.102,0.877
67,0.938,2.084,836.000,352.000,50.774,0.590
68,1.459,2.434,892.750,173.500,129.508,0.871
69,1.963,2.342,920.000,164.500,129.289,1.095
70,1.859,2.766,947.000,144.750,105.195,0.874
71,1.355,2.343,860.750,116.250,27.646,0.781
72,1.772,2.452,814.000,39.250,138.814,0.961
73,2.918,3.604,711.750,153.250,157.420,1.019
74,1.685,2.591,720.250,141.000,48.608,0.942
75,2.015,2.751,664.250,93.000,145.739,0.932
76,1.685,2.703,717.250,294.000,80.882,0.865
77,1.372,2.345,659.750,299.000,72.838,0.839
78,1.529,2.524,754.500,248.000,35.972,0.793
79,2.675,3.210,782.000,120.500,148.431,1.150
80,2.415,3.364,695.000,411.750,55.376,1.019
81,2.745,3.335,756.000,396.000,60.396,1.247
82,1.390,2.148,725.000,375.250,147.529,0.840
83,2.502,3.053,665.000,432.750,55.109,1.121
84,1.737,2.453,662.250,472.000,149.300,0.936
85,1.442,2.511,710.250,1006.250,128.073,0.762
86,1.772,2.501,605.000,427.333,108.435,0.927
87,2.502,3.664,1099.667,245.333,52.306,0.981
88,2.241,3.314,1027.000,337.667,51.459,0.893
89,1.633,2.733,1069.000,219.667,36.501,0.801
90,1.963,3.006,1141.667,242.667,63.060,0.806
91,2.432,3.236,1117.000,391.000,41.698,0.932
92,1.581,2.785,1100.000,366.000,83.660,0.659
93,2.380,3.724,1050.667,353.333,109.290,0.874
94,1.807,2.698,1143.000,481.000,16.074,0.879
95,1.442,2.302,1076.667,510.000,13.241,0.844
96,2.432,3.124,1202.667,590.667,64.156,1.043
97,2.328,2.804,1077.000,624.000,144.567,1.082
98,2.623,3.262,1219.667,603.333,25.530,1.019
99,2.293,2.926,1100.667,312.333,41.348,0.993
100,2.224,3.127,1139.333,74.000,70.292,1.034
