 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.668,2.159,443.125,325.125,131.597,0.965
2,0.886,1.71,528.375,318.875,144.013,0.661
3,0.869,1.53,487.375,359.75,67.855,0.737
4,1.442,2.138,406.833,657.5,9.462,0.791
5,0.938,1.651,456,783.25,77.905,0.708
6,2.102,2.309,282.667,838.167,168.476,1.141
7,0.816,1.499,254.667,1052.333,129.053,0.668
8,1.511,1.976,284.667,837,151.44,1.024
9,1.025,1.665,720.125,647.5,115.805,0.763
10,1.251,2.065,842.5,751.667,66.161,0.748
11,0.955,1.55,998.167,1021,110.746,0.786
12,1.199,1.734,1062,1044.125,141.17,0.866
13,0.799,1.333,1210.375,970.5,129.987,0.711
14,1.077,1.558,1138,916.75,166.551,0.869
15,0.782,1.564,1147.625,823.875,106.526,0.669
16,0.816,1.481,854,901,122.276,0.668
17,0.816,1.415,1077.75,124.5,75.155,0.741
18,0.886,1.869,652.25,54.75,170.87,0.626
19,1.164,1.666,126.333,786.333,41.257,0.901
20,2.137,2.121,136.667,720.667,31.88,1.225
21,1.372,2.022,304,378,72.943,0.84
22,1.685,2.102,313.833,184.833,41.186,0.948
23,1.511,2.077,410.333,188.833,23.039,0.861
24,0.643,1.444,372.5,622.833,13.191,0.605
25,0.799,1.363,529.875,504,14.708,0.742
26,0.903,1.485,459.375,708.625,17.43,0.708
27,1.303,1.854,337.5,802.5,31.429,0.896
28,0.973,1.765,202,938,73.369,0.708
29,0.678,1.525,279.833,161.667,143.791,0.656
30,1.355,1.93,1143,846.667,131.309,0.932
31,1.338,1.895,894.333,791,44.061,0.963
32,1.338,1.975,985,743.333,159.146,0.942
33,1.025,1.876,929.833,665,161.565,0.705
34,1.112,1.984,909.75,938.5,48.366,0.703
35,0.66,1.36,694.875,1032.5,70.907,0.651
