 ,Area,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,3.683,4.259,739.5,597.75,56.679,1.099
2,1.511,2.578,888.375,708.625,147.529,0.726
3,2.154,2.762,1009.25,351.25,72.646,1.096
4,1.841,2.734,1059.5,141.333,128.804,0.83
5,2.832,3.222,14.333,682.333,131.406,1.229
6,10.788,5.232,365,255,40.914,2.494
7,10.354,5.184,796.333,328.333,16.746,2.476
8,8.391,4.83,686,1006.333,68.102,2.212
9,3.943,3.243,843,604.667,24.829,1.514
10,3.613,3.836,362,686,156.371,1.414
11,2.345,3.793,908.5,399.75,161.25,0.876
