,glcnac,no
1A01,11.059970724898461,
3B05,,
3C02,5.620823707262061,
3D04,,4.235961793999267
3D05,,
3F01,4.785632248352302,
4A10,,
4B03,,
4B04,6.992624652190146,
4D01,4.030802150507878,2.0002261958607286
4D10,,
4E07,,
4F10,,
4G03,5.749945049424338,
4G09,2.4220077850699684,
4H09,,
5C01,,
5D01,,
5F01,,
5F06,3.5897045109707566,
5G01,,
6C01,,
6D02,,
6D03,10.645515091944715,
6E01,10.007894264028858,
6E02,5.3342146458357,
6E03,0.1291493905153422,2.5665976708939975
6G02,,
A1R05,,
A1R06,,2.2903783030836418
A1R11,,1.4910383983424311
A2R01,1.276572164522081,
A2R07,,
A2R16,,
A3M17,2.7704531055562573,2.6117868780785027
A3R04,3.87633393016982,
A3R06,4.913699647940664,
B1R08,,
B1R10,,
B1R15,0.7788269090469816,1.560509822333326
B2M13,,
B2M14,,5.324661014059472
B2R04,5.504336499993899,9.880039220473561
B2R09,,
B2R22,,
B3M03,,
B3M18,,2.6120048469826513
B3R09,,
B3R10,,1.4909765951786014
B3R15,,
C1R08,,
C2M04,8.579307722749308,
C2M19,3.727167347254969,2.075799893737283
C2R07,3.1951846809611526,
C2R09,,
C2R11,,
C2R13,0.31742204003277874,
C2R21,,
C3M06,,
C3M08,,2.9104587116522946
C3M10,,
C3R10,,
C3R12,5.489699115051432,0.6658468363201505
D2M19,,
D2R04,,
D2R18,,
D2R19,,
D3M06,,
D3R02,,
E2M05,,
E2M18,9.493759097944814,
E2R12,,
E3M02,,
F1R01,,
F1R02,,2.7018289711958148
F1R06,,1.4197207469099586
F2M12,,
F2R05,,2.910835204014055
F2R10,,
F2R13,,
F2R14,,
F2R15,11.510102117847156,
F3M06,,
F3M07,3.4196698223811404,2.112992717153709
F3M13,,1.8822330728067813
G1M02,1.4048016420705898,
G1M14,,
G1M15,1.2015723328774885,
G2M01,5.609545634617512,
G2M05,5.841857120984356,1.0286606852251319
G2M07,,
G2R07,,
G2R13,,
G2R14,,
G3M07,3.3200953754584197,
G3M13,0.22886698170941058,2.8699793927998782
