Unnamed: 0,MB,glutamate,pyruvate,alanine,acetate,succinate,asparagine,leucine,glcnac,no
1A01,9.851565664924138,5.406398339730902,0.1266077459944334,,,5.9989174306087,,,6.061509825918095,
3B05,4.779818189022149,2.0819368789120785,3.757943098747498,0.1500395744837561,4.410248259603001,5.938604376418944,3.89152126305273,,,
3C02,,0.3814964585802796,5.862180481922425,,,6.660110851768224,,,7.765962378229966,
3D04,8.001217037324244,2.677627476704636,2.013982941666021,,3.426959977877594,,,,,
3D05,10.02615294071851,,3.4549926579082166,,2.214663960999417,0.0880088157899071,,,3.780870759048744,
3F01,11.983273264983625,,3.1772941662530685,,3.4587898723686683,0.1467201418475484,,,0.4723837315479098,
4A10,5.568727712076424,5.978288533324407,4.189925792304113,,5.726127228402161,5.355531944825011,,,,
4B03,7.817524765465111,2.8165372696580877,4.872292976390555,4.959721894920665,3.668666657448697,0.0094086728250827,,,,
4B04,8.698094554774471,0.4294354109241551,0.1394258188073176,,,5.11219916928846,,,7.213204763304205,
4D01,9.451603958071336,,5.820368101217112,,3.641317335095608,,,,6.4698546365576535,
4D10,,3.577830231804551,,7.696937107311304,,4.386264346140866,,,,2.791840268590353
4E07,5.039760031743436,2.425363194665882,,3.0941346741782083,2.364603425569836,2.76488605586398,,,,3.0997621113768816
4F10,0.3174670586221611,3.338375882352103,0.2030783944982041,2.5915526366313864,3.006332022919118,4.114485456407176,3.51552510872263,,,
4G03,12.165563073421335,0.3515611516852059,3.233072761674588,,,5.806059934106524,,,7.722237701551823,
4G09,9.169938216305614,,2.2271850344321966,,1.7740758020002898,,,,3.25739875534759,
4H09,5.282938528876392,2.2327237755797573,3.5064932786874,0.0923936021905953,4.676432088872743,4.659019059946561,3.677878905717516,,,
5C01,5.111959661786635,3.261909570401625,,,1.8860487575263023,2.022742625646953,,,,
5D01,0.3006582821448345,3.2199588532830563,,7.879659892519681,3.4078776942847915,4.264462353377516,2.2273655546220072,,,
5F01,0.2754764309745577,2.857258576038504,,4.174841108765993,3.32325791145251,4.062876809590482,1.9640716712193496,2.69180360171054,,
