,MB,glutamate,pyruvate,alanine,acetate,succinate,asparagine,leucine
1A01,10.082552103983085,8.468082947089053,0.1253247781524221,,,4.635020090478021,,
3B05,4.683742982184308,2.870077895155333,4.017364232454216,4.341166156093166,4.360693390322675,4.859409944454507,4.529370971279318,
3C02,11.571106030163769,9.808811262187264,4.355416505490601,,,3.8393589372189223,,
3D04,,4.465060231757757,2.190036952142187,,3.0193561804146354,,,
3D05,12.602869844361278,,1.9109987008459866,,,0.08420056526861819,,
3F01,19.201096374171808,,,,,4.140316190482887,,
4A10,5.2044575337519765,3.906347699512181,3.1145486850960444,,0.015087656576663782,,2.320993673598674,
4B03,12.149790452944535,4.457385489922216,2.9181947996249153,4.864473531250978,3.482156415896568,,,
4B04,9.28070682627298,9.87329168619765,0.11969649259213039,,,4.898428764116268,,1.9259860585299655
4D01,10.313784669107907,3.590886929285376,2.7154032398030465,,,,,
4D10,,,,5.694235805768058,,2.570772235993349,1.8110861309822992,
4E07,5.794448846644792,7.329894872927459,3.080775650122791,4.650471604302528,1.5239815235821135,3.4560895119121113,,3.391576495634896
4F10,3.4788988929182054e-05,4.099986029207216,2.3467877479609003,4.8065517007019665,3.8027568052466445,2.616928525886879,2.6682065567317257,2.5950599327353348
4G03,9.934162858506655,0.5534585339172678,2.7948855760309845,,,3.6601358458190187,,
4G09,9.400200099058361,,2.095490892248358,,2.756108393970775,,,1.7390141694462804
4H09,5.4509402652756265,3.245197701364399,3.4020722671778043,4.347588619852273,2.8983504227275283,5.127735541298096,5.34379836051759,
5C01,3.988170260760565,3.0645536121928103,,,,2.475891223371401,,
5D01,7.485212161890174,5.664097035932822,,5.709145996939628,3.733865987212011,0.06788300291341107,2.8923574782554358,2.211157834776183
5F01,4.023051418366215,3.9765981263093777,2.54778166677069,4.5543456771305895,3.899151547744357,4.23215539230279,3.584537614601411,2.048484593012495
5F06,5.1457657209763905,4.258035287626504,3.4379008213012887,4.416144018330992,3.1088318522401037,3.2383032875106315,,
5G01,4.624226703358203,3.615651998467628,3.4586717117521006,6.360823235497822,2.976831278991864,5.387637690808961,5.010430279311266,
6C01,8.83281772807918,3.887001607777125,2.5766049269326636,2.3930271062987365,0.09094169239134217,,,
6D02,,,,,,,,
6D03,,3.00558020092932,7.936105230872565,5.163848236395042,1.7762039160319225,0.7841367877171771,3.3330422737481715,
6E01,9.24616443686675,2.0087989099518437,6.5780329565664,5.8532037479875605,2.6148288926800656,3.306853614343322,3.835484051479534,
6E02,12.411374248866334,0.5828844260258431,4.201652876427755,,,4.685443349785235,,1.9272541074141716
6E03,11.765514207237286,0.3750875671619418,3.0030454631878785,,,3.3433038219874867,,2.2025202241922672
6G02,,,,,,,,2.3539815589865234
A1R05,,,1.5477269587501024,,,,,
A1R06,12.02220021184313,0.49365114353505346,,,7.763967907300638,7.918696898350711,,
A1R11,0.21754906095055557,0.5668137463251153,0.0894293877438533,,0.038667871500057405,5.786122223379203,,
A2R01,7.367250974199586,0.2275009293460439,0.09604663298581965,5.380928551375405,3.205862569202335,4.267970546705364,4.670278052941674,
A2R07,6.123714031373593,4.4539256581769395,2.554928041430835,4.684049655888827,4.777015443173181,0.1103499159177622,3.1541792595409075,2.5984068116634433
A2R16,6.242136527846728,3.9871645620883083,3.9362458683932253,0.09285676570948465,0.07726801556627262,0.12344325097411055,5.0591787338775385,
A3M17,6.432073751068405,3.748134809041708,3.8584837738511655,6.499544205751307,2.356907206296969,3.617683844721064,,
A3R04,,,2.7797127357308407,,2.7547331056239064,,,
A3R06,,0.33779174290134817,4.15645945427106,4.85302994288747,3.4786928144628386,3.756769233693458,0.027826003336144135,2.270869602152536
B1R08,9.051857882993064,4.709879115251642,0.10393539743565038,0.04789472951610999,3.2498426905615303,3.8467594916512073,,
B1R10,,,,,,2.801895630251279,,
B1R15,,,,,,2.499025857500624,,
B2M13,10.545147220995778,7.096313534851855,0.13440758796880015,5.454825252241997,3.3998246346411456,4.663002076051552,0.14893448540246676,2.731638798240984
B2M14,12.230977946845956,,,,,0.9882267081410715,,7.872793220330365
B2R04,10.834103705186056,0.27086796674917213,0.20635873859260329,0.13789076884474855,3.5311759665938047,0.21080548448388026,1.5414709348116553,2.7560102270993
B2R09,5.126203153840356,4.628948928659042,,6.565311698818322,3.5048645914730114,3.8400016290212635,2.1273337709799343,1.96974311106367
B2R22,4.497679965371808,3.187149361518829,1.5598910832942496,,,,,1.5463243938612883
B3M03,5.7666296016280345,3.665104819404241,3.5183974341280075,4.557731086578688,3.799251705748286,4.384127962205075,,0.858533795306856
B3M18,4.465729366714947,0.361546057861307,,5.1786193877205084,3.2109156052952104,3.571640930051571,,
B3R09,5.620097044851372,0.2587322057349484,4.53956264535918,8.490274570043425,2.530781434485724,2.8394505562295467,2.787199073987757,3.2129081958534043
B3R10,7.748253550382759,,2.3791756473354635,,,,,
B3R15,6.376600125844971,,1.6338186539147905,,,2.2559040766262393,,
C1R08,,,,,,,,
C2M04,,,,,,,,
C2M19,9.126856686122048,,3.044353467730594,,,3.732039590582799,,
C2R07,6.424345697061483,,3.1134059784360395,7.903670691340485,,6.7364702652306825,,7.28471902641785
C2R09,,0.5860225363068936,4.294607323804696,6.174906819570901,3.6138770233567716,2.023978685943904,,2.55229055732226
C2R11,10.59726801208536,,,,,,,
C2R13,13.547638705412057,5.211352761610365,0.07844211390780101,5.7295165363719605,3.281597584219725,3.8270174559544,3.3287482194257496,
C2R21,12.552521441374964,0.26948557079010543,0.07736497061122694,,3.7816716725077617,5.699075025294396,,
C3M06,4.305138885975239,3.101911594916542,1.7555000700668197,,3.1568138949121964,3.8952331075940148,,
C3M08,9.292430645306178,0.44630430282041345,7.185467308577985,9.312472562910957,2.972956206577526,4.917647800883229,,3.5210882234859087
C3M10,12.472728266364166,0.3269175254145806,0.1397250480321146,,3.1735501894861216,5.540502228806549,,
C3R10,,,,,,,2.8457235561171292,
C3R12,6.180429317423329,3.5338787220526746,1.2341862215223345,,,,,
D2M19,7.786033996053768,,3.8081403115095096,,,,,
D2R04,6.164700463407269,0.3466571083209235,4.37263337641539,3.7716074862793434,0.07199102635502191,0.09823952092697323,,
D2R18,5.45924371726572,3.8581536492453,3.4382686716486917,,3.787262266134945,3.835754518386833,,
D2R19,7.763967907300613,4.77060137089788,2.787983234759538,,3.928282696567305,2.9628867950087043,3.5675773518308795,
D3M06,9.813171040042942,,3.504170644214148,8.30121328169399,,2.1781270484167283,,
D3R02,,,,,,,,2.2491967855151676
E2M05,,,,,,2.35478748526725,,1.6785023403027886
E2M18,11.509052056027327,6.551744870272753,8.696776569695476,,,0.21393731417178813,0.35851745574691724,
E2R12,5.295486030297665,2.678673568113265,,,2.204782455624601,,,4.570427006260909
E3M02,4.49169602778654,0.08797955212634259,3.608266914372557,,4.171228231602003,3.7822446814067856,,
F1R01,,,,,,,,
F1R02,,,3.399135535917479,,,,,
F1R06,12.440821133425944,0.4667842383144883,7.570375824831283,,3.9599985312644073,,,
F2M12,,,,,,2.5986998677092994,,
F2R05,4.954939623036259,0.2877042586655322,2.521130976954458,7.664435801237009,3.5927791221188485,0.11649541114873717,3.005050864357131,2.150195815325988
F2R10,5.677203852841003,4.233887309476097,,,,4.84462777913341,,
F2R13,6.999200200205751,5.020454138858821,3.5804921865276684,5.5534886038492175,3.650195321552362,0.12197584112276488,3.187568470770676,0.06742603165297094
F2R14,,0.3903662085858735,0.1491698165555582,6.459768234568956,3.4740582871967622,0.09125315209112933,,
F2R15,0.015468745018635517,0.3449017791990034,0.10565150689408691,,,4.276830960749154,,
F3M06,11.408175817939496,4.327139966645717,2.8359392940269332,10.34798779758614,0.08418577025097825,,,
F3M07,,,,,,,,
F3M13,,0.12551969344524969,0.13658499344111566,6.415976361097254,0.09772906604995316,,,
G1M02,,,2.3418141825063614,,,,,
G1M14,5.643274765344945,3.5313239109791654,2.5775388436874986,,,2.5528327344619077,,
G1M15,17.81777100741778,3.750041162004068,3.8575941726642164,,,2.5903467522958468,,
G2M01,6.09105784929115,3.4446923271989314,3.0037534586226275,,,0.03305513704503155,,
G2M05,10.806034453813446,,,,3.640344301003279,1.8669227637647168,,
G2M07,,,2.5605400399668867,,,,,
G2R07,5.63370081876327,2.268416511545865,,,,1.6802019074145815,,
G2R13,6.382838623119139,0.28106605227919523,4.068769661988246,4.864313626959698,0.08128638239321752,0.098090370152147,2.928293290388686,0.07129549036791714
G2R14,6.20105613402672,0.4359611353813524,3.0706696877745063,7.673888551071511,3.347905812827082,0.08201220548507068,0.1772517787769711,0.07649387673895
G3M07,5.775835920768111,,5.987618917664499,,,3.176811633552587,,
G3M13,9.78446571514007,3.1549810200291164,4.621688482566174,7.763967907300594,3.98982519819696,4.966281032507277,,
